@relation  yeast-1-2-8-9_vs_7
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc
@outputs Class
@data
0.44, 0.35, 0.55, 0.14, 0.5, 0.0, 0.52, 0.22, positive
0.7, 0.65, 0.54, 0.28, 0.5, 0.0, 0.6, 0.4, positive
0.36, 0.68, 0.38, 0.08, 0.5, 0.0, 0.53, 0.25, positive
0.62, 0.58, 0.46, 0.13, 0.5, 0.0, 0.53, 0.22, negative
0.4, 0.44, 0.5, 0.13, 0.5, 0.0, 0.52, 0.39, negative
0.6, 0.64, 0.56, 0.36, 0.5, 0.0, 0.46, 0.27, negative
0.38, 0.42, 0.5, 0.19, 0.5, 0.0, 0.44, 0.22, negative
0.46, 0.46, 0.53, 0.23, 0.5, 0.0, 0.51, 0.22, negative
0.59, 0.58, 0.39, 0.52, 0.5, 0.0, 0.5, 0.31, negative
0.44, 0.36, 0.64, 0.45, 0.5, 0.0, 0.53, 0.11, negative
0.54, 0.5, 0.51, 0.26, 0.5, 0.0, 0.52, 0.22, negative
0.6, 0.56, 0.47, 0.2, 0.5, 0.0, 0.5, 0.38, negative
0.56, 0.48, 0.58, 0.27, 0.5, 0.0, 0.51, 0.22, negative
0.52, 0.51, 0.48, 0.12, 0.5, 0.0, 0.54, 0.31, negative
0.47, 0.56, 0.51, 0.2, 0.5, 0.0, 0.52, 0.59, negative
0.59, 0.55, 0.57, 0.18, 0.5, 0.0, 0.51, 0.22, negative
0.51, 0.48, 0.51, 0.26, 0.5, 0.0, 0.51, 0.27, negative
0.51, 0.53, 0.55, 0.14, 0.5, 0.0, 0.51, 0.22, negative
0.49, 0.49, 0.52, 0.18, 0.5, 0.0, 0.51, 0.25, negative
0.48, 0.48, 0.56, 0.18, 0.5, 0.0, 0.58, 0.22, negative
0.43, 0.45, 0.54, 0.14, 0.5, 0.0, 0.5, 0.31, negative
0.5, 0.43, 0.56, 0.17, 0.5, 0.0, 0.35, 0.22, negative
0.47, 0.55, 0.57, 0.17, 0.5, 0.0, 0.52, 0.66, negative
0.45, 0.41, 0.53, 0.49, 0.5, 0.0, 0.49, 0.31, negative
0.52, 0.49, 0.59, 0.21, 0.5, 0.0, 0.47, 0.22, negative
0.62, 0.58, 0.52, 0.15, 0.5, 0.0, 0.52, 0.29, negative
0.58, 0.56, 0.46, 0.14, 0.5, 0.0, 0.51, 0.22, negative
0.61, 0.55, 0.51, 0.26, 0.5, 0.0, 0.52, 0.22, negative
0.57, 0.37, 0.43, 0.27, 0.5, 0.0, 0.53, 0.28, negative
0.43, 0.39, 0.51, 0.28, 0.5, 0.0, 0.4, 0.22, negative
0.46, 0.45, 0.56, 0.16, 0.5, 0.0, 0.56, 0.22, negative
0.57, 0.41, 0.59, 0.24, 0.5, 0.0, 0.4, 0.22, negative
