@relation winequality-white-9_vs_4
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
7.2, 0.32, 0.47, 5.1, 0.044, 19.0, 65.0, 0.991, 3.03, 0.41, 12.6, negative
6.3, 0.6, 0.44, 11.0, 0.05, 50.0, 245.0, 0.9972, 3.19, 0.57, 9.3, negative
5.3, 0.3, 0.2, 1.1, 0.077, 48.0, 166.0, 0.9944, 3.3, 0.54, 8.7, negative
6.9, 0.25, 0.24, 3.6, 0.057, 13.0, 85.0, 0.9942, 2.99, 0.48, 9.5, negative
7.6, 0.31, 0.49, 13.4, 0.062, 50.0, 191.0, 0.9989, 3.22, 0.53, 9.0, negative
9.9, 1.005, 0.46, 1.4, 0.046, 34.0, 185.0, 0.9966, 3.02, 0.49, 10.2, negative
7.9, 0.28, 0.32, 3.6, 0.038, 9.0, 76.0, 0.992, 3.05, 0.31, 11.7, negative
6.3, 0.24, 0.37, 1.8, 0.031, 6.0, 61.0, 0.9897, 3.3, 0.34, 12.2, negative
6.4, 0.34, 0.2, 14.9, 0.06, 37.0, 162.0, 0.9983, 3.13, 0.45, 9.0, negative
9.2, 0.16, 0.49, 2.0, 0.044, 18.0, 107.0, 0.99514, 3.1, 0.53, 10.2, negative
6.0, 0.11, 0.47, 10.6, 0.052, 69.0, 148.0, 0.9958, 2.91, 0.34, 9.3, negative
4.8, 0.65, 0.12, 1.1, 0.013, 4.0, 10.0, 0.99246, 3.32, 0.36, 13.5, negative
6.3, 0.27, 0.51, 7.6, 0.049, 35.0, 200.0, 0.99548, 3.16, 0.54, 9.4, negative
6.3, 0.27, 0.51, 7.6, 0.049, 35.0, 200.0, 0.99548, 3.16, 0.54, 9.4, negative
5.3, 0.43, 0.11, 1.1, 0.029, 6.0, 51.0, 0.99076, 3.51, 0.48, 11.2, negative
5.6, 0.18, 0.29, 2.3, 0.04, 5.0, 47.0, 0.99126, 3.07, 0.45, 10.1, negative
6.0, 0.615, 0.04, 0.8, 0.032, 8.0, 50.0, 0.99036, 3.14, 0.4, 11.0, negative
