@relation  winequality-white-3-9_vs_5
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.009,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
6.9, 0.36, 0.34, 4.2, 0.018, 57.0, 119.0, 0.9898, 3.28, 0.36, 12.7, positive
7.4, 0.24, 0.36, 2.0, 0.031, 27.0, 139.0, 0.99055, 3.28, 0.48, 12.5, positive
6.5, 0.25, 0.45, 7.8, 0.048, 52.0, 188.0, 0.99576, 3.2, 0.53, 9.1, negative
7.3, 0.28, 0.37, 1.2, 0.039, 26.0, 99.0, 0.99198, 3.01, 0.62, 10.8, negative
6.2, 0.3, 0.32, 1.3, 0.054, 27.0, 183.0, 0.99266, 3.3, 0.43, 10.1, negative
7.8, 0.25, 0.34, 13.7, 0.044, 66.0, 184.0, 0.99976, 3.22, 0.75, 8.9, negative
7.6, 0.18, 0.36, 2.4, 0.049, 38.0, 123.0, 0.996, 3.6, 0.46, 10.3, negative
6.8, 0.26, 0.46, 8.3, 0.037, 49.0, 173.0, 0.99601, 3.17, 0.47, 9.3, negative
8.3, 0.14, 0.36, 8.8, 0.026, 13.0, 60.0, 0.9956, 3.13, 0.35, 11.05, negative
7.6, 0.23, 0.34, 1.6, 0.043, 24.0, 129.0, 0.99305, 3.12, 0.7, 10.4, negative
6.9, 0.4, 0.17, 12.9, 0.033, 59.0, 186.0, 0.99754, 3.08, 0.49, 9.4, negative
