@relation winequality-white-3-9_vs_5
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
6.5, 0.39, 0.23, 5.4, 0.051, 25.0, 149.0, 0.9934, 3.24, 0.35, 10.0, negative
7.1, 0.34, 0.2, 6.1, 0.063, 47.0, 164.0, 0.9946, 3.17, 0.42, 10.0, negative
7.5, 0.305, 0.4, 18.9, 0.059, 44.0, 170.0, 1.0, 2.99, 0.46, 9.0, negative
7.4, 0.39, 0.23, 7.0, 0.033, 29.0, 126.0, 0.994, 3.14, 0.42, 10.5, negative
6.8, 0.57, 0.29, 2.2, 0.04, 15.0, 77.0, 0.9938, 3.32, 0.74, 10.2, negative
7.2, 0.39, 0.62, 11.0, 0.047, 66.0, 178.0, 0.9976, 3.16, 0.5, 8.7, negative
6.1, 0.24, 0.3, 1.5, 0.045, 22.0, 61.0, 0.992, 3.31, 0.54, 10.4, negative
5.9, 0.37, 0.1, 1.6, 0.057, 39.0, 128.0, 0.9924, 3.24, 0.48, 10.1, negative
5.7, 0.18, 0.22, 4.2, 0.042, 25.0, 111.0, 0.994, 3.35, 0.39, 9.4, negative
6.9, 0.41, 0.33, 10.1, 0.043, 28.0, 152.0, 0.9968, 3.2, 0.52, 9.4, negative
7.3, 0.25, 0.29, 7.5, 0.049, 38.0, 158.0, 0.9965, 3.43, 0.38, 9.6, negative
6.5, 0.26, 0.43, 8.9, 0.083, 50.0, 171.0, 0.9965, 2.85, 0.5, 9.0, negative
7.4, 0.28, 0.25, 11.9, 0.053, 25.0, 148.0, 0.9976, 3.1, 0.62, 9.2, negative
6.3, 0.26, 0.25, 7.8, 0.058, 44.0, 166.0, 0.9961, 3.24, 0.41, 9.0, negative
6.4, 0.24, 0.5, 11.6, 0.047, 60.0, 211.0, 0.9966, 3.18, 0.57, 9.3, negative
8.4, 0.4, 0.7, 13.1, 0.042, 29.0, 197.0, 0.998, 3.06, 0.64, 9.7, negative
6.1, 0.25, 0.24, 12.1, 0.046, 51.0, 172.0, 0.998, 3.35, 0.45, 9.5, negative
6.4, 0.46, 0.08, 4.9, 0.046, 34.0, 144.0, 0.99445, 3.1, 0.56, 10.0, negative
6.2, 0.3, 0.17, 2.8, 0.04, 24.0, 125.0, 0.9939, 3.01, 0.46, 9.0, negative
6.6, 0.56, 0.22, 8.9, 0.034, 27.0, 133.0, 0.99675, 3.2, 0.51, 9.1, negative
6.6, 0.36, 0.29, 1.6, 0.021, 24.0, 85.0, 0.98965, 3.41, 0.61, 12.4, positive
4.8, 0.33, 0.0, 6.5, 0.028, 34.0, 163.0, 0.9937, 3.35, 0.61, 9.9, negative
10.3, 0.17, 0.47, 1.4, 0.037, 5.0, 33.0, 0.9939, 2.89, 0.28, 9.6, positive
6.9, 0.36, 0.34, 4.2, 0.018, 57.0, 119.0, 0.9898, 3.28, 0.36, 12.7, positive
