@relation  winequality-white-3-9_vs_5
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.009,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
6.6, 0.36, 0.29, 1.6, 0.021, 24.0, 85.0, 0.98965, 3.41, 0.61, 12.4, positive
6.7, 0.25, 0.26, 1.55, 0.041, 118.5, 216.0, 0.9949, 3.55, 0.63, 9.4, positive
6.9, 0.39, 0.4, 4.6, 0.022, 5.0, 19.0, 0.9915, 3.31, 0.37, 12.6, positive
6.9, 0.36, 0.34, 4.2, 0.018, 57.0, 119.0, 0.9898, 3.28, 0.36, 12.7, positive
7.1, 0.49, 0.22, 2.0, 0.047, 146.5, 307.5, 0.9924, 3.24, 0.37, 11.0, positive
6.4, 0.3, 0.16, 7.5, 0.05, 55.0, 191.0, 0.9959, 3.17, 0.49, 9.0, negative
7.0, 0.23, 0.42, 1.1, 0.062, 35.0, 100.0, 0.99318, 3.04, 0.4, 9.2, negative
6.7, 0.29, 0.45, 14.3, 0.054, 30.0, 181.0, 0.99869, 3.14, 0.57, 9.1, negative
7.4, 0.29, 0.48, 12.8, 0.037, 61.5, 182.0, 0.99808, 3.02, 0.34, 8.8, negative
6.7, 0.24, 0.41, 2.9, 0.039, 48.0, 122.0, 0.99052, 3.25, 0.43, 12.0, negative
7.4, 0.27, 0.26, 11.8, 0.053, 55.0, 173.0, 0.99699, 3.11, 0.6, 9.8, negative
7.0, 0.31, 0.52, 1.7, 0.029, 5.0, 61.0, 0.9918, 3.07, 0.43, 10.4, negative
6.2, 0.33, 0.14, 4.8, 0.052, 27.0, 128.0, 0.99475, 3.21, 0.48, 9.4, negative
6.6, 0.25, 0.51, 8.0, 0.047, 61.0, 189.0, 0.99604, 3.22, 0.49, 9.2, negative
6.0, 0.21, 0.24, 12.1, 0.05, 55.0, 164.0, 0.997, 3.34, 0.39, 9.4, negative
8.0, 0.28, 0.42, 7.1, 0.045, 41.0, 169.0, 0.9959, 3.17, 0.43, 10.6, negative
6.7, 0.3, 0.44, 18.5, 0.057, 65.0, 224.0, 0.99956, 3.11, 0.53, 9.1, negative
8.1, 0.2, 0.3, 1.3, 0.036, 7.0, 49.0, 0.99242, 2.99, 0.73, 10.3, negative
6.9, 0.27, 0.49, 23.5, 0.057, 59.0, 235.0, 1.0024, 2.98, 0.47, 8.6, negative
6.4, 0.475, 0.06, 1.0, 0.03, 9.0, 131.0, 0.9904, 2.97, 0.29, 10.8, negative
7.5, 0.26, 0.26, 18.35, 0.084, 33.0, 139.0, 1.0011, 3.17, 0.39, 8.8, negative
6.8, 0.45, 0.3, 11.8, 0.094, 23.0, 97.0, 0.997, 3.09, 0.44, 9.6, negative
9.2, 0.28, 0.46, 3.2, 0.058, 39.0, 133.0, 0.996, 3.14, 0.58, 9.5, negative
7.2, 0.27, 0.46, 18.75, 0.052, 45.0, 255.0, 1.0, 3.04, 0.52, 8.9, negative
6.7, 0.27, 0.31, 15.7, 0.036, 44.0, 179.0, 0.9979, 3.26, 0.56, 9.6, negative
7.2, 0.2, 0.22, 1.6, 0.044, 17.0, 101.0, 0.99471, 3.37, 0.53, 10.0, negative
6.6, 0.35, 0.34, 4.9, 0.032, 9.0, 125.0, 0.99253, 3.32, 0.81, 12.0, negative
7.2, 0.13, 0.46, 1.3, 0.044, 48.0, 111.0, 0.99127, 2.97, 0.45, 11.1, negative
