@relation winequality-white-3-9_vs_5
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
8.1, 0.27, 0.41, 1.45, 0.033, 11.0, 63.0, 0.9908, 2.99, 0.56, 12.0, negative
7.3, 0.24, 0.39, 17.95, 0.057, 45.0, 149.0, 0.9999, 3.21, 0.36, 8.6, negative
6.2, 0.35, 0.03, 1.2, 0.064, 29.0, 120.0, 0.9934, 3.22, 0.54, 9.1, negative
6.7, 0.25, 0.13, 1.2, 0.041, 81.0, 174.0, 0.992, 3.14, 0.42, 9.8, negative
6.0, 0.21, 0.24, 12.1, 0.05, 55.0, 164.0, 0.997, 3.34, 0.39, 9.4, negative
7.2, 0.27, 0.46, 18.75, 0.052, 45.0, 255.0, 1.0, 3.04, 0.52, 8.9, negative
6.9, 0.54, 0.32, 13.2, 0.05, 53.0, 236.0, 0.9973, 3.2, 0.5, 9.6, negative
7.7, 0.26, 0.4, 1.1, 0.042, 9.0, 60.0, 0.9915, 2.89, 0.5, 10.6, negative
6.7, 0.34, 0.3, 15.6, 0.054, 51.0, 196.0, 0.9982, 3.19, 0.49, 9.3, negative
7.3, 0.32, 0.25, 7.2, 0.056, 47.0, 180.0, 0.9961, 3.08, 0.47, 8.8, negative
6.6, 0.24, 0.35, 7.7, 0.031, 36.0, 135.0, 0.9938, 3.19, 0.37, 10.5, negative
7.6, 0.17, 0.45, 11.2, 0.054, 56.0, 137.0, 0.997, 3.15, 0.47, 10.0, negative
6.8, 0.37, 0.51, 11.8, 0.044, 62.0, 163.0, 0.9976, 3.19, 0.44, 8.8, negative
8.2, 0.28, 0.42, 1.8, 0.031, 30.0, 93.0, 0.9917, 3.09, 0.39, 11.4, negative
6.1, 0.28, 0.32, 2.5, 0.042, 23.0, 218.5, 0.9935, 3.27, 0.6, 9.8, negative
7.1, 0.21, 0.27, 8.6, 0.056, 26.0, 111.0, 0.9956, 2.95, 0.52, 9.5, negative
6.4, 0.45, 0.07, 1.1, 0.03, 10.0, 131.0, 0.9905, 2.97, 0.28, 10.8, negative
7.5, 0.21, 0.68, 10.9, 0.045, 38.0, 133.0, 0.9978, 3.0, 0.36, 8.7, negative
6.9, 0.39, 0.4, 4.6, 0.022, 5.0, 19.0, 0.9915, 3.31, 0.37, 12.6, positive
7.2, 0.31, 0.26, 7.3, 0.05, 37.0, 157.0, 0.99625, 3.09, 0.43, 9.0, negative
6.8, 0.39, 0.35, 11.6, 0.044, 57.0, 220.0, 0.99775, 3.07, 0.53, 9.3, negative
6.0, 0.28, 0.49, 6.8, 0.048, 61.0, 222.0, 0.9953, 3.19, 0.47, 9.3, negative
8.4, 0.18, 0.42, 5.1, 0.036, 7.0, 77.0, 0.9939, 3.16, 0.52, 11.7, negative
6.6, 0.56, 0.22, 8.9, 0.034, 27.0, 133.0, 0.99675, 3.2, 0.51, 9.1, negative
8.2, 0.4, 0.48, 13.7, 0.042, 59.0, 169.0, 0.9986, 3.1, 0.52, 9.4, negative
6.6, 0.3, 0.3, 4.8, 0.17, 60.0, 166.0, 0.9946, 3.18, 0.47, 9.4, negative
6.0, 0.45, 0.65, 9.7, 0.08, 11.0, 159.0, 0.9956, 3.04, 0.48, 9.4, negative
6.3, 0.33, 0.2, 5.8, 0.04, 24.0, 144.0, 0.99425, 3.15, 0.63, 9.9, negative
6.2, 0.33, 0.19, 5.6, 0.042, 22.0, 143.0, 0.99425, 3.15, 0.63, 9.9, negative
5.6, 0.29, 0.05, 0.8, 0.038, 11.0, 30.0, 0.9924, 3.36, 0.35, 9.2, negative
5.4, 0.595, 0.1, 2.8, 0.042, 26.0, 80.0, 0.9932, 3.36, 0.38, 9.3, negative
6.2, 0.34, 0.28, 7.5, 0.034, 40.0, 197.0, 0.99485, 3.14, 0.6, 9.7, negative
6.9, 0.19, 0.33, 1.6, 0.043, 63.0, 149.0, 0.9925, 3.44, 0.52, 10.8, negative
6.5, 0.19, 0.1, 1.3, 0.046, 23.0, 107.0, 0.9937, 3.29, 0.45, 10.0, negative
8.3, 0.22, 0.38, 14.8, 0.054, 32.0, 126.0, 1.0002, 3.22, 0.5, 9.7, negative
7.8, 0.26, 0.44, 1.3, 0.037, 43.0, 132.0, 0.9944, 3.18, 0.65, 10.0, negative
9.2, 0.28, 0.46, 3.2, 0.058, 39.0, 133.0, 0.996, 3.14, 0.58, 9.5, negative
6.9, 0.32, 0.17, 7.6, 0.042, 69.0, 219.0, 0.9959, 3.13, 0.4, 8.9, negative
6.1, 0.45, 0.27, 0.8, 0.039, 13.0, 82.0, 0.9927, 3.23, 0.32, 9.5, negative
7.4, 0.22, 0.33, 2.0, 0.045, 31.0, 101.0, 0.9931, 3.42, 0.55, 11.4, negative
7.6, 0.26, 0.47, 1.6, 0.068, 5.0, 55.0, 0.9944, 3.1, 0.45, 9.6, negative
6.4, 0.3, 0.38, 7.8, 0.046, 35.0, 192.0, 0.9955, 3.1, 0.37, 9.0, negative
6.9, 0.18, 0.38, 6.5, 0.039, 20.0, 110.0, 0.9943, 3.1, 0.42, 10.5, negative
7.3, 0.24, 0.39, 3.6, 0.024, 35.0, 116.0, 0.9928, 3.17, 0.51, 10.9, negative
7.2, 0.14, 0.35, 1.2, 0.036, 15.0, 73.0, 0.9938, 3.46, 0.39, 9.9, negative
8.1, 0.5, 0.47, 1.1, 0.037, 23.0, 126.0, 0.9938, 3.21, 0.42, 10.9, negative
5.9, 0.415, 0.02, 0.8, 0.038, 22.0, 63.0, 0.9932, 3.36, 0.36, 9.3, negative
7.4, 0.25, 0.49, 1.1, 0.042, 35.0, 156.0, 0.9917, 3.13, 0.55, 11.3, negative
6.1, 0.25, 0.49, 7.6, 0.052, 67.0, 226.0, 0.9956, 3.16, 0.47, 8.9, negative
8.3, 0.21, 0.49, 19.8, 0.054, 50.0, 231.0, 1.0012, 2.99, 0.54, 9.2, negative
6.9, 0.21, 0.49, 1.4, 0.041, 15.0, 164.0, 0.9927, 3.25, 0.63, 11.0, negative
9.1, 0.28, 0.49, 2.0, 0.059, 10.0, 112.0, 0.9958, 3.15, 0.46, 10.1, negative
5.6, 0.39, 0.24, 4.7, 0.034, 27.0, 77.0, 0.9906, 3.28, 0.36, 12.7, negative
6.6, 0.46, 0.49, 7.4, 0.052, 19.0, 184.0, 0.9956, 3.11, 0.38, 9.0, negative
