@relation winequality-white-3-9_vs_5
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
7.9, 0.18, 0.37, 1.2, 0.04, 16.0, 75.0, 0.992, 3.18, 0.63, 10.8, negative
7.6, 0.67, 0.14, 1.5, 0.074, 25.0, 168.0, 0.9937, 3.05, 0.51, 9.3, negative
6.9, 0.19, 0.35, 5.0, 0.067, 32.0, 150.0, 0.995, 3.36, 0.48, 9.8, negative
7.4, 0.24, 0.29, 10.1, 0.05, 21.0, 105.0, 0.9962, 3.13, 0.35, 9.5, negative
7.4, 0.24, 0.29, 10.1, 0.05, 21.0, 105.0, 0.9962, 3.13, 0.35, 9.5, negative
7.4, 0.18, 0.3, 8.8, 0.064, 26.0, 103.0, 0.9961, 2.94, 0.56, 9.3, negative
6.7, 0.54, 0.28, 5.4, 0.06, 21.0, 105.0, 0.9949, 3.27, 0.37, 9.0, negative
6.7, 0.41, 0.34, 9.2, 0.049, 29.0, 150.0, 0.9968, 3.22, 0.51, 9.1, negative
6.4, 0.29, 0.44, 3.6, 0.2, 75.0, 181.0, 0.9942, 3.02, 0.41, 9.1, negative
6.9, 0.4, 0.56, 11.2, 0.043, 40.0, 142.0, 0.9975, 3.14, 0.46, 8.7, negative
5.8, 0.24, 0.44, 3.5, 0.029, 5.0, 109.0, 0.9913, 3.53, 0.43, 11.7, positive
6.6, 0.58, 0.3, 5.1, 0.057, 30.0, 123.0, 0.9949, 3.24, 0.38, 9.0, negative
7.2, 0.21, 0.41, 1.3, 0.036, 33.0, 85.0, 0.992, 3.17, 0.51, 10.4, negative
6.3, 0.39, 0.35, 5.9, 0.04, 82.5, 260.0, 0.9941, 3.12, 0.66, 10.1, negative
7.1, 0.31, 0.47, 13.6, 0.056, 54.0, 197.0, 0.9978, 3.1, 0.49, 9.3, negative
6.4, 0.34, 0.1, 1.1, 0.048, 19.0, 84.0, 0.9927, 3.21, 0.38, 9.8, negative
6.4, 0.18, 0.48, 4.0, 0.186, 64.0, 150.0, 0.9945, 3.06, 0.4, 9.3, negative
7.1, 0.31, 0.5, 14.5, 0.059, 6.0, 148.0, 0.9983, 2.94, 0.44, 9.1, negative
6.5, 0.46, 0.41, 16.8, 0.084, 59.0, 222.0, 0.9993, 3.18, 0.58, 9.0, negative
