@relation  03subcl5-800-7-0-BI-5-5tra
@attribute a0 real[-84.0,483.0]
@attribute a1 real[-282.0,1481.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
153.0, 307.0, positive
267.0, 898.0, positive
126.0, 551.0, positive
112.0, 673.0, positive
133.0, 34.0, positive
188.0, 227.0, positive
238.0, 1169.0, positive
213.0, 1298.0, positive
140.0, 846.0, positive
194.0, -80.0, positive
38.0, 418.0, negative
116.0, 1055.0, negative
368.0, 329.0, negative
331.0, -172.0, negative
441.0, 242.0, negative
4.0, 769.0, negative
-71.0, 333.0, negative
-59.0, -273.0, negative
3.0, 1336.0, negative
391.0, 508.0, negative
119.0, 419.0, negative
125.0, 102.0, negative
443.0, 1228.0, negative
-1.0, -106.0, negative
-3.0, 1256.0, negative
403.0, 1394.0, negative
401.0, -154.0, negative
79.0, -182.0, negative
309.0, 1352.0, negative
-58.0, 1126.0, negative
414.0, 1157.0, negative
454.0, 679.0, negative
369.0, 15.0, negative
-24.0, 963.0, negative
334.0, 993.0, negative
57.0, -219.0, negative
448.0, -10.0, negative
44.0, 172.0, negative
330.0, 171.0, negative
-28.0, -45.0, negative
122.0, 782.0, negative
27.0, 629.0, negative
-39.0, 1420.0, negative
165.0, 159.0, negative
33.0, -4.0, negative
257.0, 465.0, negative
435.0, 325.0, negative
218.0, 760.0, negative
122.0, 763.0, negative
12.0, 872.0, negative
365.0, 1443.0, negative
455.0, 793.0, negative
22.0, 576.0, negative
124.0, 1341.0, negative
-28.0, 51.0, negative
343.0, 1104.0, negative
411.0, 405.0, negative
282.0, 1020.0, negative
319.0, 695.0, negative
386.0, 90.0, negative
169.0, -176.0, negative
-50.0, 978.0, negative
176.0, -220.0, negative
270.0, 1404.0, negative
-42.0, 675.0, negative
262.0, 1481.0, negative
50.0, 494.0, negative
420.0, 468.0, negative
71.0, -178.0, negative
374.0, -19.0, negative
29.0, 275.0, negative
61.0, 1385.0, negative
327.0, 277.0, negative
369.0, 607.0, negative
106.0, 465.0, negative
360.0, 1077.0, negative
483.0, 1297.0, negative
425.0, 848.0, negative
-10.0, 162.0, negative
8.0, 753.0, negative
