@relation  vehicle1
@attribute Compactness integer[73,119]
@attribute Circularity integer[33,59]
@attribute Distance_circularity integer[40,112]
@attribute Radius_ratio integer[104,333]
@attribute Praxis_aspect_ratio integer[47,138]
@attribute Max_length_aspect_ratio integer[2,55]
@attribute Scatter_ratio integer[112,265]
@attribute Elongatedness integer[26,61]
@attribute Praxis_rectangular integer[17,29]
@attribute Length_rectangular integer[118,188]
@attribute Major_variance integer[130,320]
@attribute Minor_variance integer[184,1018]
@attribute Gyration_radius integer[109,268]
@attribute Major_skewness integer[59,135]
@attribute Minor_skewness integer[0,22]
@attribute Minor_kurtosis integer[0,41]
@attribute Major_kurtosis integer[176,206]
@attribute Hollows_ratio integer[181,211]
@attribute Class{positive,negative}
@inputs Compactness,Circularity,Distance_circularity,Radius_ratio,Praxis_aspect_ratio,Max_length_aspect_ratio,Scatter_ratio,Elongatedness,Praxis_rectangular,Length_rectangular,Major_variance,Minor_variance,Gyration_radius,Major_skewness,Minor_skewness,Minor_kurtosis,Major_kurtosis,Hollows_ratio
@outputs Class
@data
94, 40, 85, 186, 62, 9, 169, 39, 20, 139, 184, 430, 133, 61, 2, 9, 200, 210, positive
110, 54, 102, 201, 64, 11, 213, 31, 24, 171, 222, 669, 221, 73, 17, 16, 188, 198, positive
101, 51, 112, 201, 59, 11, 214, 32, 24, 162, 223, 667, 194, 65, 0, 36, 190, 206, positive
115, 51, 100, 201, 60, 12, 196, 34, 23, 162, 207, 573, 184, 62, 22, 1, 198, 208, positive
107, 54, 96, 201, 62, 12, 218, 31, 24, 170, 221, 694, 217, 71, 2, 21, 187, 198, positive
86, 40, 63, 135, 56, 5, 133, 50, 18, 135, 152, 262, 166, 70, 9, 2, 187, 191, positive
106, 54, 101, 222, 67, 12, 222, 30, 25, 173, 228, 721, 200, 70, 3, 4, 187, 201, positive
103, 46, 106, 209, 66, 10, 203, 33, 23, 149, 217, 612, 210, 70, 9, 10, 191, 199, positive
88, 37, 63, 130, 58, 5, 125, 54, 18, 130, 141, 230, 145, 74, 14, 20, 184, 188, positive
105, 54, 106, 215, 68, 10, 208, 32, 24, 166, 217, 640, 218, 69, 14, 23, 189, 199, positive
107, 54, 98, 210, 66, 11, 218, 31, 24, 169, 221, 704, 216, 71, 14, 0, 188, 197, positive
96, 37, 74, 187, 68, 8, 159, 42, 20, 134, 183, 378, 134, 69, 3, 16, 190, 197, positive
