@relation vehicle2
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
90, 34, 66, 136, 55, 6, 123, 54, 17, 118, 148, 224, 118, 65, 5, 26, 196, 202, negative
89, 42, 85, 144, 58, 10, 152, 44, 19, 144, 173, 345, 161, 72, 8, 13, 187, 197, negative
99, 41, 77, 197, 69, 6, 177, 36, 21, 139, 202, 485, 151, 72, 4, 10, 198, 199, positive
90, 48, 86, 306, 126, 49, 153, 44, 19, 156, 272, 346, 200, 118, 0, 15, 185, 194, negative
119, 54, 106, 220, 65, 12, 213, 31, 24, 167, 223, 675, 232, 66, 20, 1, 192, 202, negative
94, 36, 66, 151, 61, 8, 133, 50, 18, 135, 154, 265, 119, 62, 9, 3, 201, 208, negative
103, 50, 98, 212, 63, 9, 193, 34, 22, 161, 214, 567, 185, 64, 5, 5, 198, 204, negative
89, 41, 75, 143, 56, 7, 146, 46, 19, 137, 170, 317, 156, 76, 18, 5, 184, 188, negative
86, 40, 62, 140, 62, 7, 150, 45, 19, 133, 165, 330, 173, 82, 2, 3, 180, 185, negative
89, 42, 80, 151, 62, 6, 144, 46, 19, 139, 166, 308, 170, 74, 17, 13, 185, 189, negative
