@relation vehicle2
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
85, 44, 70, 205, 103, 52, 149, 45, 19, 144, 241, 325, 188, 127, 9, 11, 180, 183, positive
86, 34, 62, 140, 61, 7, 122, 54, 17, 127, 141, 223, 112, 64, 2, 14, 200, 208, negative
101, 56, 100, 215, 69, 10, 208, 32, 24, 169, 227, 651, 223, 74, 6, 5, 186, 193, negative
102, 45, 85, 193, 64, 6, 192, 33, 22, 146, 217, 570, 163, 76, 6, 7, 195, 193, positive
101, 42, 62, 175, 67, 6, 149, 43, 19, 139, 169, 341, 165, 65, 7, 11, 202, 209, positive
77, 38, 63, 135, 59, 5, 130, 52, 18, 130, 145, 247, 139, 79, 13, 21, 183, 187, negative
101, 53, 103, 203, 63, 9, 195, 34, 22, 162, 210, 571, 210, 68, 5, 5, 191, 198, negative
102, 45, 83, 198, 65, 5, 194, 33, 22, 146, 225, 576, 167, 79, 0, 27, 193, 191, positive
95, 47, 88, 162, 64, 11, 159, 43, 20, 157, 176, 371, 185, 71, 12, 13, 189, 198, negative
89, 37, 54, 119, 53, 5, 134, 50, 18, 127, 151, 266, 146, 79, 16, 14, 184, 185, negative
85, 41, 66, 155, 65, 22, 149, 45, 19, 139, 173, 330, 155, 75, 6, 16, 184, 191, positive
106, 49, 106, 211, 64, 9, 208, 32, 24, 158, 224, 645, 184, 68, 1, 24, 190, 202, negative
91, 45, 75, 154, 57, 6, 150, 44, 19, 146, 170, 335, 180, 66, 16, 2, 193, 198, negative
110, 51, 104, 191, 57, 12, 213, 31, 24, 162, 226, 674, 190, 68, 18, 2, 191, 199, negative
98, 38, 70, 125, 52, 8, 130, 53, 18, 139, 157, 243, 132, 74, 0, 13, 186, 185, negative
96, 49, 98, 187, 59, 6, 213, 31, 24, 152, 228, 680, 210, 77, 8, 28, 188, 189, positive
