@relation  winequality-red-3_vs_5
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
10.4, 0.61, 0.49, 2.1, 0.2, 5.0, 16.0, 0.9994, 3.16, 0.63, 8.4, positive
7.3, 0.98, 0.05, 2.1, 0.061, 20.0, 49.0, 0.99705, 3.31, 0.55, 9.7, positive
7.3, 0.45, 0.36, 5.9, 0.074, 12.0, 87.0, 0.9978, 3.33, 0.83, 10.5, negative
8.1, 0.78, 0.23, 2.6, 0.059, 5.0, 15.0, 0.997, 3.37, 0.56, 11.3, negative
6.7, 0.48, 0.08, 2.1, 0.064, 18.0, 34.0, 0.99552, 3.33, 0.64, 9.7, negative
8.2, 0.73, 0.21, 1.7, 0.074, 5.0, 13.0, 0.9968, 3.2, 0.52, 9.5, negative
7.7, 0.67, 0.23, 2.1, 0.088, 17.0, 96.0, 0.9962, 3.32, 0.48, 9.5, negative
7.1, 0.43, 0.42, 5.5, 0.071, 28.0, 128.0, 0.9973, 3.42, 0.71, 10.5, negative
10.0, 0.32, 0.59, 2.2, 0.077, 3.0, 15.0, 0.9994, 3.2, 0.78, 9.6, negative
9.9, 0.74, 0.28, 2.6, 0.078, 21.0, 77.0, 0.998, 3.28, 0.51, 9.8, negative
8.4, 0.29, 0.4, 1.7, 0.067, 8.0, 20.0, 0.99603, 3.39, 0.6, 10.5, negative
7.8, 0.61, 0.29, 1.6, 0.114, 9.0, 29.0, 0.9974, 3.26, 1.56, 9.1, negative
8.1, 0.56, 0.28, 1.7, 0.368, 16.0, 56.0, 0.9968, 3.11, 1.28, 9.3, negative
7.4, 0.61, 0.01, 2.0, 0.074, 13.0, 38.0, 0.99748, 3.48, 0.65, 9.8, negative
7.2, 0.65, 0.02, 2.3, 0.094, 5.0, 31.0, 0.9993, 3.67, 0.8, 9.7, negative
7.3, 0.67, 0.05, 3.6, 0.107, 6.0, 20.0, 0.9972, 3.4, 0.63, 10.1, negative
8.9, 0.595, 0.41, 7.9, 0.086, 30.0, 109.0, 0.9998, 3.27, 0.57, 9.3, negative
6.9, 0.52, 0.25, 2.6, 0.081, 10.0, 37.0, 0.99685, 3.46, 0.5, 11.0, negative
8.8, 0.37, 0.48, 2.1, 0.097, 39.0, 145.0, 0.9975, 3.04, 1.03, 9.3, negative
7.3, 0.585, 0.18, 2.4, 0.078, 15.0, 60.0, 0.99638, 3.31, 0.54, 9.8, negative
6.8, 0.68, 0.21, 2.1, 0.07, 9.0, 23.0, 0.99546, 3.38, 0.6, 10.3, negative
10.4, 0.64, 0.24, 2.8, 0.105, 29.0, 53.0, 0.9998, 3.24, 0.67, 9.9, negative
12.3, 0.39, 0.63, 2.3, 0.091, 6.0, 18.0, 1.0004, 3.16, 0.49, 9.5, negative
6.4, 0.4, 0.23, 1.6, 0.066, 5.0, 12.0, 0.9958, 3.34, 0.56, 9.2, negative
7.5, 0.52, 0.11, 1.5, 0.079, 11.0, 39.0, 0.9968, 3.42, 0.58, 9.6, negative
10.6, 0.28, 0.39, 15.5, 0.069, 6.0, 23.0, 1.0026, 3.12, 0.66, 9.2, negative
7.8, 0.59, 0.18, 2.3, 0.076, 17.0, 54.0, 0.9975, 3.43, 0.59, 10.0, negative
9.1, 0.66, 0.15, 3.2, 0.097, 9.0, 59.0, 0.99976, 3.28, 0.54, 9.6, negative
9.9, 0.5, 0.5, 13.8, 0.205, 48.0, 82.0, 1.00242, 3.16, 0.75, 8.8, negative
