@relation  winequality-red-8_vs_6-7
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
7.4, 0.36, 0.3, 1.8, 0.074, 17.0, 24.0, 0.99419, 3.24, 0.7, 11.4, positive
7.2, 0.37, 0.32, 2.0, 0.062, 15.0, 28.0, 0.9947, 3.23, 0.73, 11.3, negative
12.8, 0.3, 0.74, 2.6, 0.095, 9.0, 28.0, 0.9994, 3.2, 0.77, 10.8, negative
9.1, 0.4, 0.57, 4.6, 0.08, 6.0, 20.0, 0.99652, 3.28, 0.57, 12.5, negative
7.1, 0.59, 0.01, 2.3, 0.08, 27.0, 43.0, 0.9955, 3.42, 0.58, 10.7, negative
7.9, 0.32, 0.51, 1.8, 0.341, 17.0, 56.0, 0.9969, 3.04, 1.08, 9.2, negative
8.0, 0.25, 0.43, 1.7, 0.067, 22.0, 50.0, 0.9946, 3.38, 0.6, 11.9, negative
7.2, 0.49, 0.18, 2.7, 0.069, 13.0, 34.0, 0.9967, 3.29, 0.48, 9.2, negative
9.8, 0.51, 0.19, 3.2, 0.081, 8.0, 30.0, 0.9984, 3.23, 0.58, 10.5, negative
10.1, 0.31, 0.44, 2.3, 0.08, 22.0, 46.0, 0.9988, 3.32, 0.67, 9.7, negative
6.9, 0.45, 0.11, 2.4, 0.043, 6.0, 12.0, 0.99354, 3.3, 0.65, 11.4, negative
7.8, 0.58, 0.02, 2.0, 0.073, 9.0, 18.0, 0.9968, 3.36, 0.57, 9.5, negative
8.9, 0.12, 0.45, 1.8, 0.075, 10.0, 21.0, 0.99552, 3.41, 0.76, 11.9, negative
9.0, 0.4, 0.41, 2.0, 0.058, 15.0, 40.0, 0.99414, 3.22, 0.6, 12.2, negative
8.2, 0.33, 0.32, 2.8, 0.067, 4.0, 12.0, 0.99473, 3.3, 0.76, 12.8, negative
7.8, 0.32, 0.44, 2.7, 0.104, 8.0, 17.0, 0.99732, 3.33, 0.78, 11.0, negative
8.4, 0.36, 0.32, 2.2, 0.081, 32.0, 79.0, 0.9964, 3.3, 0.72, 11.0, negative
9.2, 0.755, 0.18, 2.2, 0.148, 10.0, 103.0, 0.9969, 2.87, 1.36, 10.2, negative
8.8, 0.3, 0.38, 2.3, 0.06, 19.0, 72.0, 0.99543, 3.39, 0.72, 11.8, negative
10.6, 0.31, 0.49, 2.5, 0.067, 6.0, 21.0, 0.9987, 3.26, 0.86, 10.7, negative
5.0, 0.38, 0.01, 1.6, 0.048, 26.0, 60.0, 0.99084, 3.7, 0.75, 14.0, negative
8.8, 0.61, 0.19, 4.0, 0.094, 30.0, 69.0, 0.99787, 3.22, 0.5, 10.0, negative
7.1, 0.22, 0.49, 1.8, 0.039, 8.0, 18.0, 0.99344, 3.39, 0.56, 12.4, negative
7.1, 0.53, 0.07, 1.7, 0.071, 15.0, 24.0, 0.9951, 3.29, 0.66, 10.8, negative
7.1, 0.27, 0.6, 2.1, 0.074, 17.0, 25.0, 0.99814, 3.38, 0.72, 10.6, negative
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, negative
