@relation  winequality-red-8_vs_6-7
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
8.6, 0.42, 0.39, 1.8, 0.068, 6.0, 12.0, 0.99516, 3.35, 0.69, 11.7, positive
12.6, 0.31, 0.72, 2.2, 0.072, 6.0, 29.0, 0.9987, 2.88, 0.82, 9.8, positive
6.6, 0.56, 0.14, 2.4, 0.064, 13.0, 29.0, 0.99397, 3.42, 0.62, 11.7, negative
9.8, 0.44, 0.47, 2.5, 0.063, 9.0, 28.0, 0.9981, 3.24, 0.65, 10.8, negative
7.7, 0.61, 0.18, 2.4, 0.083, 6.0, 20.0, 0.9963, 3.29, 0.6, 10.2, negative
7.6, 0.35, 0.6, 2.6, 0.073, 23.0, 44.0, 0.99656, 3.38, 0.79, 11.1, negative
7.1, 0.35, 0.29, 2.5, 0.096, 20.0, 53.0, 0.9962, 3.42, 0.65, 11.0, negative
10.4, 0.55, 0.23, 2.7, 0.091, 18.0, 48.0, 0.9994, 3.22, 0.64, 10.3, negative
12.8, 0.84, 0.63, 2.4, 0.088, 13.0, 35.0, 0.9997, 3.1, 0.6, 10.4, negative
7.5, 0.55, 0.24, 2.0, 0.078, 10.0, 28.0, 0.9983, 3.45, 0.78, 9.5, negative
9.4, 0.43, 0.24, 2.8, 0.092, 14.0, 45.0, 0.998, 3.19, 0.73, 10.0, negative
7.8, 0.64, 0.1, 6.0, 0.115, 5.0, 11.0, 0.9984, 3.37, 0.69, 10.1, negative
10.1, 0.45, 0.23, 1.9, 0.082, 10.0, 18.0, 0.99774, 3.22, 0.65, 9.3, negative
8.9, 0.12, 0.45, 1.8, 0.075, 10.0, 21.0, 0.99552, 3.41, 0.76, 11.9, negative
7.8, 0.52, 0.25, 1.9, 0.081, 14.0, 38.0, 0.9984, 3.43, 0.65, 9.0, negative
9.2, 0.36, 0.34, 1.6, 0.062, 5.0, 12.0, 0.99667, 3.2, 0.67, 10.5, negative
9.1, 0.5, 0.3, 1.9, 0.065, 8.0, 17.0, 0.99774, 3.32, 0.71, 10.5, negative
10.6, 0.34, 0.49, 3.2, 0.078, 20.0, 78.0, 0.9992, 3.19, 0.7, 10.0, negative
7.7, 0.58, 0.1, 1.8, 0.102, 28.0, 109.0, 0.99565, 3.08, 0.49, 9.8, negative
7.6, 0.43, 0.31, 2.1, 0.069, 13.0, 74.0, 0.9958, 3.26, 0.54, 9.9, negative
13.4, 0.27, 0.62, 2.6, 0.082, 6.0, 21.0, 1.0002, 3.16, 0.67, 9.7, negative
8.2, 0.635, 0.1, 2.1, 0.073, 25.0, 60.0, 0.99638, 3.29, 0.75, 10.9, negative
8.2, 0.34, 0.37, 1.9, 0.057, 43.0, 74.0, 0.99408, 3.23, 0.81, 12.0, negative
10.6, 0.42, 0.48, 2.7, 0.065, 5.0, 18.0, 0.9972, 3.21, 0.87, 11.3, negative
5.9, 0.61, 0.08, 2.1, 0.071, 16.0, 24.0, 0.99376, 3.56, 0.77, 11.1, negative
6.2, 0.39, 0.43, 2.0, 0.071, 14.0, 24.0, 0.99428, 3.45, 0.87, 11.2, negative
11.5, 0.3, 0.6, 2.0, 0.067, 12.0, 27.0, 0.9981, 3.11, 0.97, 10.1, negative
7.3, 0.43, 0.24, 2.5, 0.078, 27.0, 67.0, 0.99648, 3.6, 0.59, 11.1, negative
8.8, 0.31, 0.4, 2.8, 0.109, 7.0, 16.0, 0.99614, 3.31, 0.79, 11.8, negative
11.9, 0.57, 0.5, 2.6, 0.082, 6.0, 32.0, 1.0006, 3.12, 0.78, 10.7, negative
8.3, 0.26, 0.37, 1.4, 0.076, 8.0, 23.0, 0.9974, 3.26, 0.7, 9.6, negative
7.7, 0.26, 0.3, 1.7, 0.059, 20.0, 38.0, 0.9949, 3.29, 0.47, 10.8, negative
13.7, 0.415, 0.68, 2.9, 0.085, 17.0, 43.0, 1.0014, 3.06, 0.8, 10.0, negative
7.6, 0.36, 0.31, 1.7, 0.079, 26.0, 65.0, 0.99716, 3.46, 0.62, 9.5, negative
9.0, 0.36, 0.52, 2.1, 0.111, 5.0, 10.0, 0.99568, 3.31, 0.62, 11.3, negative
5.4, 0.835, 0.08, 1.2, 0.046, 13.0, 93.0, 0.9924, 3.57, 0.85, 13.0, negative
7.1, 0.6, 0.0, 1.8, 0.074, 16.0, 34.0, 0.9972, 3.47, 0.7, 9.9, negative
10.3, 0.5, 0.42, 2.0, 0.069, 21.0, 51.0, 0.9982, 3.16, 0.72, 11.5, negative
7.6, 0.78, 0.0, 1.7, 0.076, 33.0, 45.0, 0.99612, 3.31, 0.62, 10.7, negative
8.5, 0.37, 0.2, 2.8, 0.09, 18.0, 58.0, 0.998, 3.34, 0.7, 9.6, negative
7.2, 0.62, 0.01, 2.3, 0.065, 8.0, 46.0, 0.99332, 3.32, 0.51, 11.8, negative
13.0, 0.47, 0.49, 4.3, 0.085, 6.0, 47.0, 1.0021, 3.3, 0.68, 12.7, negative
8.4, 0.37, 0.53, 1.8, 0.413, 9.0, 26.0, 0.9979, 3.06, 1.06, 9.1, negative
8.7, 0.42, 0.45, 2.4, 0.072, 32.0, 59.0, 0.99617, 3.33, 0.77, 12.0, negative
8.1, 0.825, 0.24, 2.1, 0.084, 5.0, 13.0, 0.9972, 3.37, 0.77, 10.7, negative
5.9, 0.29, 0.25, 13.4, 0.067, 72.0, 160.0, 0.99721, 3.33, 0.54, 10.3, negative
7.5, 0.63, 0.27, 2.0, 0.083, 17.0, 91.0, 0.99616, 3.26, 0.58, 9.8, negative
11.9, 0.43, 0.66, 3.1, 0.109, 10.0, 23.0, 1.0, 3.15, 0.85, 10.4, negative
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, negative
7.6, 0.41, 0.14, 3.0, 0.087, 21.0, 43.0, 0.9964, 3.32, 0.57, 10.5, negative
7.0, 0.54, 0.0, 2.1, 0.079, 39.0, 55.0, 0.9956, 3.39, 0.84, 11.4, negative
7.5, 0.52, 0.4, 2.2, 0.06, 12.0, 20.0, 0.99474, 3.26, 0.64, 11.8, negative
6.4, 0.31, 0.09, 1.4, 0.066, 15.0, 28.0, 0.99459, 3.42, 0.7, 10.0, negative
7.9, 0.2, 0.35, 1.7, 0.054, 7.0, 15.0, 0.99458, 3.32, 0.8, 11.9, negative
10.0, 0.31, 0.47, 2.6, 0.085, 14.0, 33.0, 0.99965, 3.36, 0.8, 10.5, negative
9.9, 0.35, 0.38, 1.5, 0.058, 31.0, 47.0, 0.99676, 3.26, 0.82, 10.6, negative
6.7, 0.855, 0.02, 1.9, 0.064, 29.0, 38.0, 0.99472, 3.3, 0.56, 10.75, negative
8.7, 0.7, 0.24, 2.5, 0.226, 5.0, 15.0, 0.9991, 3.32, 0.6, 9.0, negative
13.3, 0.29, 0.75, 2.8, 0.084, 23.0, 43.0, 0.9986, 3.04, 0.68, 11.4, negative
7.2, 0.67, 0.0, 2.2, 0.068, 10.0, 24.0, 0.9956, 3.42, 0.72, 11.1, negative
8.7, 0.69, 0.31, 3.0, 0.086, 23.0, 81.0, 1.0002, 3.48, 0.74, 11.6, negative
6.4, 0.39, 0.33, 3.3, 0.046, 12.0, 53.0, 0.99294, 3.36, 0.62, 12.2, negative
12.4, 0.4, 0.51, 2.0, 0.059, 6.0, 24.0, 0.9994, 3.04, 0.6, 9.3, negative
11.6, 0.23, 0.57, 1.8, 0.074, 3.0, 8.0, 0.9981, 3.14, 0.7, 9.9, negative
11.0, 0.3, 0.58, 2.1, 0.054, 7.0, 19.0, 0.998, 3.31, 0.88, 10.5, negative
7.5, 0.51, 0.02, 1.7, 0.084, 13.0, 31.0, 0.99538, 3.36, 0.54, 10.5, negative
8.5, 0.34, 0.4, 4.7, 0.055, 3.0, 9.0, 0.99738, 3.38, 0.66, 11.6, negative
10.2, 0.4, 0.4, 2.5, 0.068, 41.0, 54.0, 0.99754, 3.38, 0.86, 10.5, negative
7.6, 0.5, 0.29, 2.3, 0.086, 5.0, 14.0, 0.99502, 3.32, 0.62, 11.5, negative
8.6, 0.685, 0.1, 1.6, 0.092, 3.0, 12.0, 0.99745, 3.31, 0.65, 9.55, negative
10.2, 0.36, 0.64, 2.9, 0.122, 10.0, 41.0, 0.998, 3.23, 0.66, 12.5, negative
7.3, 0.51, 0.18, 2.1, 0.07, 12.0, 28.0, 0.99768, 3.52, 0.73, 9.5, negative
