45 66 0 0
63 60 1 0
69 67 8 0
61 62 5 0
53 58 4 0
60 65 0 0
70 58 0 0
50 63 13 0
62 65 19 0
56 65 9 0
50 64 0 0
51 59 3 0
39 66 0 0
42 59 0 0
62 58 0 0
65 61 2 0
53 59 3 0
62 59 13 0
41 67 0 0
54 65 5 0
41 60 23 0
41 64 0 0
44 58 9 0
48 67 7 0
34 59 0 0
72 63 0 0
52 59 2 0
46 65 20 0
46 58 2 0
54 65 23 0
70 58 4 0
34 66 9 0
57 62 14 0
66 58 0 0
42 69 1 0
51 59 13 0
49 64 10 0
59 62 35 0
49 63 0 0
83 58 2 0
52 62 3 0
61 68 1 0
53 65 1 0
55 68 15 0
65 66 15 0
57 61 5 0
67 64 8 0
48 58 11 0
47 63 23 0
67 63 1 0
54 68 7 0
47 62 0 0
65 58 0 0
44 64 6 0
46 62 5 0
48 58 11 0
46 69 3 0
38 69 21 0
45 65 6 0
60 59 17 0
56 66 3 0
53 65 12 0
78 65 1 0
43 64 0 0
47 65 0 0
66 61 13 0
55 63 6 0
43 58 52 0
52 69 3 0
53 63 24 0
44 63 19 0
57 64 1 0
74 65 3 0
45 67 1 0
54 60 11 0
43 64 0 0
53 60 9 0
65 62 22 0
61 65 0 0
43 59 2 0
52 66 4 0
