@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
5.1, 3.5, 1.4, 0.2, positive
5.1, 3.3, 1.7, 0.5, positive
4.7, 3.2, 1.6, 0.2, positive
4.8, 3.1, 1.6, 0.2, positive
4.5, 2.3, 1.3, 0.3, positive
5.5, 2.5, 4.0, 1.3, negative
5.5, 2.6, 4.4, 1.2, negative
7.3, 2.9, 6.3, 1.8, negative
7.2, 3.6, 6.1, 2.5, negative
5.7, 2.5, 5.0, 2.0, negative
7.7, 3.8, 6.7, 2.2, negative
6.1, 3.0, 4.9, 1.8, negative
5.8, 2.7, 5.1, 1.9, negative
6.5, 3.0, 5.2, 2.0, negative
5.9, 3.0, 5.1, 1.8, negative
