@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.2, 4.1, 1.5, 0.1, positive
4.6, 3.4, 1.4, 0.3, positive
5.1, 3.8, 1.6, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
5.1, 3.8, 1.5, 0.3, positive
5.8, 2.8, 5.1, 2.4, negative
7.2, 3.6, 6.1, 2.5, negative
6.5, 3.0, 5.5, 1.8, negative
6.3, 3.3, 6.0, 2.5, negative
5.5, 2.4, 3.7, 1.0, negative
6.4, 3.2, 4.5, 1.5, negative
6.3, 2.8, 5.1, 1.5, negative
6.9, 3.1, 4.9, 1.5, negative
5.5, 2.6, 4.4, 1.2, negative
5.6, 3.0, 4.1, 1.3, negative
