@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
4.9, 3.0, 1.4, 0.2, positive
5.4, 3.4, 1.7, 0.2, positive
4.4, 3.0, 1.3, 0.2, positive
5.3, 3.7, 1.5, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
6.1, 2.8, 4.0, 1.3, negative
6.4, 2.9, 4.3, 1.3, negative
6.2, 2.9, 4.3, 1.3, negative
6.5, 3.0, 5.8, 2.2, negative
6.4, 2.7, 5.3, 1.9, negative
5.8, 2.8, 5.1, 2.4, negative
6.4, 3.2, 5.3, 2.3, negative
6.3, 2.8, 5.1, 1.5, negative
6.3, 3.4, 5.6, 2.4, negative
6.0, 3.0, 4.8, 1.8, negative
