@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
4.6, 3.1, 1.5, 0.2, positive
5.4, 3.7, 1.5, 0.2, positive
4.8, 3.4, 1.6, 0.2, positive
5.7, 4.4, 1.5, 0.4, positive
5.8, 4.0, 1.2, 0.2, positive
6.3, 3.3, 4.7, 1.6, negative
5.2, 2.7, 3.9, 1.4, negative
6.0, 2.2, 4.0, 1.0, negative
5.6, 2.5, 3.9, 1.1, negative
6.3, 3.3, 6.0, 2.5, negative
6.8, 3.0, 5.5, 2.1, negative
6.3, 2.7, 4.9, 1.8, negative
6.7, 3.3, 5.7, 2.1, negative
7.4, 2.8, 6.1, 1.9, negative
6.0, 2.2, 5.0, 1.5, negative
