@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
4.8, 3.0, 1.4, 0.1, positive
5.0, 3.0, 1.6, 0.2, positive
5.0, 3.4, 1.6, 0.4, positive
5.2, 3.5, 1.5, 0.2, positive
5.5, 4.2, 1.4, 0.2, positive
6.0, 2.9, 4.5, 1.5, negative
7.0, 3.2, 4.7, 1.4, negative
6.1, 2.8, 4.7, 1.2, negative
5.0, 2.3, 3.3, 1.0, negative
5.1, 2.5, 3.0, 1.1, negative
5.7, 2.8, 4.1, 1.3, negative
4.9, 2.5, 4.5, 1.7, negative
7.7, 2.8, 6.7, 2.0, negative
6.7, 3.3, 5.7, 2.5, negative
6.2, 3.4, 5.4, 2.3, negative
