@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.1, 3.7, 1.5, 0.4, positive
4.4, 3.0, 1.3, 0.2, positive
5.1, 3.8, 1.9, 0.4, positive
4.9, 3.1, 1.5, 0.1, positive
4.5, 2.3, 1.3, 0.3, positive
6.0, 2.2, 5.0, 1.5, negative
7.6, 3.0, 6.6, 2.1, negative
6.5, 3.0, 5.8, 2.2, negative
6.7, 3.3, 5.7, 2.5, negative
5.6, 2.9, 3.6, 1.3, negative
6.1, 2.9, 4.7, 1.4, negative
6.3, 2.7, 4.9, 1.8, negative
6.6, 3.0, 4.4, 1.4, negative
6.1, 2.8, 4.0, 1.3, negative
5.8, 2.7, 4.1, 1.0, negative
