@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.3, 3.7, 1.5, 0.2, positive
4.6, 3.2, 1.4, 0.2, positive
5.1, 3.4, 1.5, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
5.2, 3.4, 1.4, 0.2, positive
5.9, 3.0, 5.1, 1.8, negative
7.2, 3.0, 5.8, 1.6, negative
6.8, 3.0, 5.5, 2.1, negative
6.9, 3.1, 5.4, 2.1, negative
5.5, 2.4, 3.8, 1.1, negative
6.2, 2.2, 4.5, 1.5, negative
6.7, 3.0, 5.0, 1.7, negative
6.7, 3.1, 4.4, 1.4, negative
5.9, 3.0, 4.2, 1.5, negative
5.8, 2.6, 4.0, 1.2, negative
