@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.4, 3.9, 1.7, 0.4, positive
5.0, 3.5, 1.3, 0.3, positive
4.8, 3.4, 1.6, 0.2, positive
4.6, 3.1, 1.5, 0.2, positive
5.5, 3.5, 1.3, 0.2, positive
6.0, 2.7, 5.1, 1.6, negative
6.7, 2.5, 5.8, 1.8, negative
6.7, 3.1, 5.6, 2.4, negative
6.4, 2.7, 5.3, 1.9, negative
5.2, 2.7, 3.9, 1.4, negative
5.4, 3.0, 4.5, 1.5, negative
6.2, 2.8, 4.8, 1.8, negative
6.1, 2.8, 4.7, 1.2, negative
5.6, 2.7, 4.2, 1.3, negative
5.8, 2.7, 3.9, 1.2, negative
