@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.7, 4.4, 1.5, 0.4, positive
4.6, 3.6, 1.0, 0.2, positive
5.1, 3.3, 1.7, 0.5, positive
4.6, 3.4, 1.4, 0.3, positive
5.1, 3.4, 1.5, 0.2, positive
5.3, 3.7, 1.5, 0.2, positive
5.4, 3.9, 1.3, 0.4, positive
5.1, 3.8, 1.9, 0.4, positive
4.8, 3.0, 1.4, 0.1, positive
4.7, 3.2, 1.6, 0.2, positive
5.7, 2.5, 5.0, 2.0, negative
7.4, 2.8, 6.1, 1.9, negative
7.6, 3.0, 6.6, 2.1, negative
6.4, 2.8, 5.6, 2.1, negative
4.9, 2.4, 3.3, 1.0, negative
6.0, 2.9, 4.5, 1.5, negative
6.4, 3.2, 5.3, 2.3, negative
6.3, 2.8, 5.1, 1.5, negative
6.1, 3.0, 4.9, 1.8, negative
6.3, 3.3, 6.0, 2.5, negative
7.2, 3.0, 5.8, 1.6, negative
6.7, 3.1, 4.7, 1.5, negative
6.1, 2.6, 5.6, 1.4, negative
4.9, 2.5, 4.5, 1.7, negative
6.1, 2.8, 4.0, 1.3, negative
5.8, 2.7, 4.1, 1.0, negative
6.7, 3.1, 4.4, 1.4, negative
5.5, 2.4, 3.8, 1.1, negative
6.9, 3.1, 4.9, 1.5, negative
5.6, 2.9, 3.6, 1.3, negative
