@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.7, 4.4, 1.5, 0.4, positive
4.6, 3.6, 1.0, 0.2, positive
5.1, 3.3, 1.7, 0.5, positive
4.8, 3.0, 1.4, 0.3, positive
4.7, 3.2, 1.6, 0.2, positive
5.7, 2.5, 5.0, 2.0, negative
7.4, 2.8, 6.1, 1.9, negative
6.4, 2.8, 5.6, 2.1, negative
7.7, 2.8, 6.7, 2.0, negative
4.9, 2.4, 3.3, 1.0, negative
6.0, 2.9, 4.5, 1.5, negative
6.4, 3.2, 5.3, 2.3, negative
6.7, 3.1, 4.7, 1.5, negative
6.1, 2.6, 5.6, 1.4, negative
4.9, 2.5, 4.5, 1.7, negative
