@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, negative
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, negative
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, negative
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, negative
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, negative
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, negative
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, negative
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, negative
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, negative
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, negative
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, negative
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, negative
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, negative
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, negative
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, negative
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, negative
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, negative
63.0, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, negative
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, negative
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, negative
48.0, 49.0, 48.0, 5.0, 52.0, 77.0, 71.0, negative
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, negative
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, negative
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, negative
