@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, negative
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, negative
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, negative
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, negative
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, negative
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, negative
31.0, 5.0, 48.0, 5.0, 57.0, 84.0, 85.0, negative
83.0, 37.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, negative
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, negative
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, negative
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, negative
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, negative
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, negative
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, negative
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, negative
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, negative
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, negative
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, negative
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, negative
85.0, 53.0, 48.0, 5.0, 53.0, 52.0, 35.0, positive
