@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, positive
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
27.0, 35.0, 48.0, 5.0, 51.0, 77.0, 79.0, negative
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, negative
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, negative
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, negative
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, negative
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, negative
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, negative
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, negative
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, negative
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, negative
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, negative
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, negative
36.0, 45.0, 48.0, 5.0, 38.0, 79.0, 17.0, negative
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, negative
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, negative
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, negative
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, negative
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, negative
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, negative
