@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, negative
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, negative
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, negative
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, negative
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, negative
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, negative
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
63.0, 47.0, 48.0, 5.0, 51.0, 82.0, 84.0, negative
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 75.0, negative
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, negative
41.0, 51.0, 48.0, 5.0, 53.0, 75.0, 78.0, negative
35.0, 51.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
71.0, 52.0, 48.0, 5.0, 64.0, 1.0, 99.0, negative
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, negative
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, negative
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, negative
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, negative
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, negative
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, negative
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, negative
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, negative
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, negative
