@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, positive
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, negative
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, negative
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, negative
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, negative
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, negative
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, negative
41.0, 51.0, 48.0, 5.0, 53.0, 75.0, 78.0, negative
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
72.0, 46.0, 48.0, 5.0, 51.0, 66.0, 7.0, negative
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, negative
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, negative
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, negative
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, negative
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, negative
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, negative
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, negative
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, negative
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, negative
66.0, 74.0, 48.0, 5.0, 31.0, 38.0, 43.0, negative
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, negative
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, negative
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, negative
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, negative
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, negative
