@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 75.0, negative
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, negative
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, negative
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, negative
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, negative
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, negative
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, negative
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, negative
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, negative
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, negative
69.0, 66.0, 48.0, 5.0, 41.0, 5.0, 25.0, negative
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, negative
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, negative
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, negative
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, negative
75.0, 84.0, 48.0, 5.0, 35.0, 52.0, 33.0, negative
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, negative
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, negative
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, negative
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, negative
