@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, negative
69.0, 59.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, negative
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, negative
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
31.0, 44.0, 48.0, 5.0, 5.0, 79.0, 82.0, negative
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, negative
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, negative
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, negative
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, negative
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, negative
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, negative
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, negative
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, negative
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, negative
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, negative
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, negative
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, negative
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
74.0, 7.0, 48.0, 5.0, 66.0, 65.0, 69.0, negative
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, negative
