@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, negative
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, negative
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, negative
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, negative
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, negative
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, negative
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, negative
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, negative
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, negative
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, negative
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, negative
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, negative
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, negative
6.0, 61.0, 48.0, 5.0, 49.0, 92.0, 37.0, negative
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, negative
74.0, 44.0, 48.0, 5.0, 55.0, 88.0, 89.0, negative
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, negative
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, negative
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, negative
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, positive
