@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, negative
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, negative
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, negative
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, negative
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, negative
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, negative
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, negative
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, negative
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, negative
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, negative
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, negative
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, negative
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, negative
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, negative
0.0, 51.0, 48.0, 5.0, 35.0, 67.0, 44.0, negative
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, negative
72.0, 86.0, 48.0, 5.0, 17.0, 55.0, 21.0, negative
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, negative
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, negative
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, negative
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, positive
