@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
63.0, 47.0, 48.0, 5.0, 51.0, 82.0, 84.0, negative
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, negative
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, negative
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, negative
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, negative
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, negative
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, negative
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, negative
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, negative
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, negative
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, negative
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, negative
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, negative
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, negative
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, negative
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, negative
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, negative
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, negative
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, negative
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, negative
5.0, 57.0, 48.0, 5.0, 71.0, 61.0, 66.0, negative
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, negative
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, negative
