@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, positive
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, negative
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, negative
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, negative
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, negative
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, negative
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, negative
35.0, 51.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, negative
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, negative
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, negative
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, negative
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, negative
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, negative
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, negative
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, negative
51.0, 4.0, 48.0, 5.0, 57.0, 62.0, 67.0, negative
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, negative
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, negative
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, negative
