@relation  04clover5z-600-5-0-BI-5-5tra
@attribute a0 real[-573.0,535.0]
@attribute a1 real[-413.0,412.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
-45.0, 202.0, positive
-70.0, -273.0, positive
-158.0, -13.0, positive
27.0, 24.0, positive
-54.0, 159.0, positive
-373.0, 13.0, positive
250.0, -157.0, positive
-18.0, 135.0, positive
168.0, 114.0, positive
61.0, -63.0, positive
-109.0, 267.0, positive
212.0, -154.0, positive
-60.0, 19.0, positive
-35.0, 11.0, positive
166.0, 164.0, positive
-32.0, -226.0, positive
175.0, 87.0, positive
-110.0, -223.0, positive
-118.0, -308.0, positive
222.0, -141.0, positive
189.0, 35.0, negative
2.0, -279.0, negative
399.0, 260.0, negative
-482.0, 355.0, negative
368.0, 132.0, negative
451.0, 206.0, negative
432.0, -347.0, negative
-235.0, 347.0, negative
-162.0, 40.0, negative
71.0, 119.0, negative
225.0, 342.0, negative
504.0, 133.0, negative
297.0, -363.0, negative
-11.0, -378.0, negative
-37.0, 401.0, negative
-468.0, -47.0, negative
-149.0, 280.0, negative
173.0, -294.0, negative
-398.0, -197.0, negative
-156.0, -139.0, negative
297.0, -55.0, negative
163.0, -391.0, negative
22.0, -189.0, negative
240.0, -19.0, negative
295.0, -89.0, negative
-170.0, -109.0, negative
462.0, 327.0, negative
-525.0, 260.0, negative
300.0, 390.0, negative
478.0, 37.0, negative
-360.0, 322.0, negative
-189.0, 160.0, negative
368.0, -64.0, negative
455.0, -117.0, negative
-376.0, -138.0, negative
-28.0, -308.0, negative
424.0, 18.0, negative
-514.0, 71.0, negative
70.0, 361.0, negative
406.0, 30.0, negative
281.0, -287.0, negative
118.0, 186.0, negative
260.0, -2.0, negative
491.0, 231.0, negative
195.0, 284.0, negative
-451.0, 137.0, negative
-401.0, -376.0, negative
485.0, -117.0, negative
93.0, 280.0, negative
415.0, -269.0, negative
345.0, -238.0, negative
156.0, -182.0, negative
-337.0, 177.0, negative
-206.0, -334.0, negative
-283.0, 406.0, negative
-273.0, -276.0, negative
-347.0, 169.0, negative
-512.0, -380.0, negative
120.0, 33.0, negative
-398.0, -281.0, negative
350.0, 260.0, negative
-398.0, 79.0, negative
94.0, -202.0, negative
-14.0, 346.0, negative
400.0, -253.0, negative
218.0, 236.0, negative
124.0, 264.0, negative
15.0, 109.0, negative
-1.0, -172.0, negative
-222.0, -119.0, negative
498.0, -276.0, negative
-15.0, 383.0, negative
-537.0, 121.0, negative
351.0, 15.0, negative
-507.0, -242.0, negative
505.0, -201.0, negative
-311.0, 79.0, negative
433.0, -46.0, negative
-433.0, 11.0, negative
467.0, -286.0, negative
-181.0, 103.0, negative
-394.0, -86.0, negative
-297.0, -76.0, negative
112.0, -20.0, negative
473.0, -69.0, negative
355.0, -42.0, negative
185.0, -262.0, negative
148.0, -246.0, negative
-476.0, 373.0, negative
-338.0, 116.0, negative
-315.0, -403.0, negative
-164.0, -253.0, negative
293.0, -76.0, negative
-15.0, 199.0, negative
-333.0, -308.0, negative
-151.0, -255.0, negative
353.0, -75.0, negative
-119.0, -72.0, negative
-310.0, -49.0, negative
-280.0, -189.0, negative
