@relation  paw02a-600-5-70-BI-5-5tra
@attribute a0 real[-63.0,760.0]
@attribute a1 real[67.0,992.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
502.0, 350.0, positive
249.0, 410.0, positive
433.0, 684.0, positive
459.0, 489.0, positive
282.0, 501.0, positive
594.0, 387.0, positive
287.0, 383.0, positive
430.0, 575.0, positive
358.0, 400.0, positive
366.0, 493.0, positive
623.0, 660.0, positive
259.0, 656.0, positive
224.0, 622.0, positive
301.0, 267.0, positive
438.0, 844.0, positive
156.0, 540.0, positive
241.0, 673.0, positive
590.0, 722.0, positive
538.0, 648.0, positive
349.0, 757.0, positive
340.0, 697.0, negative
160.0, 589.0, negative
30.0, 398.0, negative
722.0, 922.0, negative
68.0, 438.0, negative
428.0, 980.0, negative
596.0, 644.0, negative
257.0, 359.0, negative
567.0, 212.0, negative
221.0, 688.0, negative
415.0, 246.0, negative
730.0, 503.0, negative
444.0, 170.0, negative
676.0, 524.0, negative
87.0, 945.0, negative
234.0, 127.0, negative
683.0, 604.0, negative
272.0, 981.0, negative
402.0, 546.0, negative
63.0, 195.0, negative
430.0, 940.0, negative
90.0, 612.0, negative
347.0, 796.0, negative
237.0, 609.0, negative
243.0, 917.0, negative
556.0, 762.0, negative
347.0, 748.0, negative
549.0, 800.0, negative
63.0, 610.0, negative
306.0, 139.0, negative
233.0, 763.0, negative
289.0, 806.0, negative
39.0, 549.0, negative
475.0, 526.0, negative
-44.0, 751.0, negative
521.0, 407.0, negative
750.0, 862.0, negative
589.0, 323.0, negative
521.0, 896.0, negative
645.0, 208.0, negative
111.0, 155.0, negative
84.0, 842.0, negative
106.0, 524.0, negative
580.0, 520.0, negative
721.0, 635.0, negative
48.0, 860.0, negative
493.0, 283.0, negative
685.0, 712.0, negative
668.0, 453.0, negative
585.0, 199.0, negative
132.0, 347.0, negative
306.0, 110.0, negative
591.0, 115.0, negative
-37.0, 588.0, negative
629.0, 966.0, negative
174.0, 213.0, negative
358.0, 904.0, negative
63.0, 99.0, negative
87.0, 288.0, negative
26.0, 452.0, negative
81.0, 751.0, negative
394.0, 202.0, negative
279.0, 893.0, negative
624.0, 926.0, negative
588.0, 667.0, negative
-49.0, 483.0, negative
486.0, 513.0, negative
269.0, 268.0, negative
196.0, 189.0, negative
59.0, 500.0, negative
562.0, 171.0, negative
277.0, 945.0, negative
171.0, 689.0, negative
730.0, 949.0, negative
93.0, 498.0, negative
426.0, 809.0, negative
143.0, 946.0, negative
700.0, 380.0, negative
-4.0, 132.0, negative
725.0, 87.0, negative
677.0, 906.0, negative
635.0, 333.0, negative
33.0, 587.0, negative
177.0, 317.0, negative
5.0, 151.0, negative
483.0, 115.0, negative
13.0, 292.0, negative
131.0, 657.0, negative
-36.0, 919.0, negative
607.0, 590.0, negative
53.0, 920.0, negative
191.0, 682.0, negative
-32.0, 420.0, negative
166.0, 897.0, negative
690.0, 319.0, negative
109.0, 756.0, negative
664.0, 852.0, negative
723.0, 70.0, negative
619.0, 166.0, negative
735.0, 783.0, negative
