@relation  yeast4
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc
@outputs Class
@data
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, positive
0.55, 0.5, 0.6, 0.31, 0.5, 0.0, 0.46, 0.27, positive
0.57, 0.61, 0.55, 0.67, 0.5, 0.0, 0.48, 0.22, positive
0.46, 0.41, 0.5, 0.44, 0.5, 0.0, 0.53, 0.22, positive
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, positive
0.5, 0.41, 0.44, 0.5, 0.5, 0.0, 0.42, 0.22, positive
0.48, 0.57, 0.52, 0.61, 0.5, 0.0, 0.51, 0.22, positive
0.59, 0.45, 0.58, 0.21, 0.5, 0.0, 0.49, 0.22, positive
0.47, 0.54, 0.53, 0.77, 0.5, 0.0, 0.52, 0.36, positive
0.52, 0.77, 0.38, 0.34, 0.5, 0.0, 0.51, 0.22, positive
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, positive
0.81, 0.65, 0.52, 0.41, 0.5, 0.0, 0.57, 0.26, positive
0.6, 0.59, 0.47, 0.47, 0.5, 0.0, 0.53, 0.22, positive
0.65, 0.53, 0.55, 0.52, 0.5, 0.0, 0.47, 0.27, positive
0.63, 0.57, 0.59, 0.4, 0.5, 0.0, 0.38, 0.22, positive
0.53, 0.45, 0.52, 0.29, 0.5, 0.0, 0.55, 0.38, positive
0.4, 0.74, 0.49, 0.16, 0.5, 0.0, 0.51, 0.22, positive
0.41, 0.47, 0.58, 0.62, 0.5, 0.0, 0.5, 0.22, positive
0.47, 0.41, 0.66, 0.26, 0.5, 0.0, 0.53, 0.22, positive
0.47, 0.63, 0.66, 0.45, 0.5, 0.0, 0.37, 0.11, positive
0.59, 0.61, 0.51, 0.62, 0.5, 0.0, 0.51, 0.38, positive
0.46, 0.54, 0.71, 0.15, 0.5, 0.0, 0.59, 0.22, positive
0.35, 0.52, 0.48, 0.22, 0.5, 0.0, 0.26, 0.22, positive
0.36, 0.38, 0.56, 0.44, 0.5, 0.0, 0.48, 0.22, positive
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, positive
0.61, 0.46, 0.44, 0.47, 0.5, 0.0, 0.5, 0.37, negative
0.4, 0.28, 0.58, 0.44, 0.5, 0.0, 0.41, 0.22, negative
0.37, 0.42, 0.46, 0.15, 0.5, 0.0, 0.51, 0.31, negative
0.48, 0.58, 0.47, 0.17, 0.5, 0.0, 0.53, 0.74, negative
0.7, 0.57, 0.34, 0.19, 0.5, 0.0, 0.53, 0.27, negative
0.27, 0.56, 0.3, 0.14, 0.5, 0.0, 0.52, 0.39, negative
0.69, 0.7, 0.5, 0.3, 0.5, 0.0, 0.54, 0.22, negative
0.34, 0.34, 0.61, 0.18, 0.5, 0.0, 0.52, 0.32, negative
0.33, 0.17, 0.52, 0.13, 0.5, 0.0, 0.51, 0.75, negative
0.27, 0.56, 0.56, 0.18, 0.5, 0.0, 0.52, 0.22, negative
0.38, 0.42, 0.31, 0.35, 0.5, 0.0, 0.52, 0.22, negative
0.25, 0.39, 0.5, 0.23, 0.5, 0.0, 0.5, 0.28, negative
0.62, 0.33, 0.49, 0.24, 0.5, 0.0, 0.51, 0.42, negative
0.36, 0.56, 0.52, 0.18, 0.5, 0.0, 0.45, 0.16, negative
