@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/yeast4/yeast4
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.5, 0.54, 0.48, 0.65, 0.5, 0.0, 0.53, 0.22, negative
0.46, 0.44, 0.52, 0.11, 0.5, 0.0, 0.5, 0.22, negative
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, negative
0.33, 0.55, 0.51, 0.43, 0.5, 0.0, 0.51, 0.22, negative
0.48, 0.39, 0.51, 0.21, 0.5, 0.0, 0.52, 0.28, negative
0.64, 0.56, 0.56, 0.22, 0.5, 0.0, 0.45, 0.22, negative
0.81, 0.85, 0.47, 0.37, 0.5, 0.0, 0.56, 0.22, negative
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, negative
0.64, 0.57, 0.57, 0.27, 0.5, 0.0, 0.37, 0.22, negative
0.36, 0.58, 0.35, 0.24, 0.5, 0.0, 0.44, 0.22, negative
0.3, 0.56, 0.55, 0.18, 0.5, 0.0, 0.5, 0.22, negative
0.27, 0.6, 0.48, 0.23, 0.5, 0.0, 0.55, 0.22, negative
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, negative
0.26, 0.44, 0.3, 0.11, 0.5, 0.0, 0.51, 0.47, negative
0.44, 0.38, 0.48, 0.32, 0.5, 0.83, 0.53, 0.22, negative
0.48, 0.64, 0.61, 0.23, 0.5, 0.0, 0.6, 0.22, negative
0.49, 0.46, 0.45, 0.45, 0.5, 0.0, 0.52, 0.22, negative
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, negative
0.7, 0.65, 0.54, 0.28, 0.5, 0.0, 0.6, 0.4, negative
0.42, 0.57, 0.72, 0.22, 0.5, 0.0, 0.57, 0.22, negative
0.36, 0.68, 0.38, 0.08, 0.5, 0.0, 0.53, 0.25, negative
0.35, 0.39, 0.57, 0.11, 0.5, 0.0, 0.48, 0.22, negative
0.36, 0.49, 0.3, 0.22, 0.5, 0.0, 0.52, 0.31, negative
0.29, 0.43, 0.4, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.34, 0.38, 0.45, 0.19, 0.5, 0.0, 0.51, 0.22, positive
0.54, 0.55, 0.42, 0.22, 0.5, 0.0, 0.48, 0.22, negative
0.33, 0.44, 0.49, 0.08, 0.5, 0.0, 0.48, 0.49, negative
0.37, 0.34, 0.32, 0.22, 0.5, 0.0, 0.56, 0.22, negative
0.32, 0.38, 0.52, 0.2, 0.5, 0.0, 0.52, 0.28, negative
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, negative
0.34, 0.35, 0.61, 0.19, 0.5, 0.0, 0.52, 0.25, negative
0.34, 0.4, 0.3, 0.23, 0.5, 0.0, 0.51, 0.22, negative
0.43, 0.44, 0.3, 0.18, 0.5, 0.0, 0.51, 0.22, negative
0.5, 0.46, 0.52, 0.16, 0.5, 0.0, 0.52, 0.26, negative
0.4, 0.45, 0.42, 0.17, 0.5, 0.0, 0.54, 0.26, negative
0.65, 0.61, 0.39, 0.3, 0.5, 0.0, 0.57, 0.28, negative
0.84, 0.63, 0.38, 0.23, 0.5, 0.0, 0.53, 0.22, negative
0.37, 0.55, 0.29, 0.32, 0.5, 0.0, 0.51, 0.22, negative
0.36, 0.34, 0.46, 0.19, 0.5, 0.0, 0.52, 0.22, positive
0.48, 0.48, 0.5, 0.47, 0.5, 0.0, 0.55, 0.22, negative
0.46, 0.14, 0.36, 0.21, 0.5, 0.0, 0.5, 0.25, negative
0.33, 0.38, 0.53, 0.26, 0.5, 0.0, 0.52, 0.27, negative
0.49, 0.48, 0.46, 0.63, 0.5, 0.0, 0.52, 0.22, negative
0.48, 0.47, 0.54, 0.55, 0.5, 0.0, 0.51, 0.65, negative
0.51, 0.56, 0.51, 0.42, 0.5, 0.0, 0.53, 0.36, negative
0.52, 0.38, 0.62, 0.12, 0.5, 0.0, 0.41, 0.28, negative
0.63, 0.6, 0.5, 0.27, 0.5, 0.0, 0.55, 0.22, negative
0.46, 0.46, 0.56, 0.12, 0.5, 0.0, 0.55, 0.22, negative
0.59, 0.58, 0.39, 0.52, 0.5, 0.0, 0.5, 0.31, negative
0.4, 0.53, 0.44, 0.18, 0.5, 0.0, 0.54, 0.31, negative
0.83, 0.57, 0.42, 0.57, 0.5, 0.0, 0.5, 0.32, positive
0.78, 0.65, 0.4, 0.16, 0.5, 0.0, 0.63, 0.22, negative
0.53, 0.51, 0.36, 0.13, 0.5, 0.0, 0.52, 0.22, negative
0.49, 0.52, 0.53, 0.7, 0.5, 0.0, 0.51, 0.22, negative
0.55, 0.59, 0.52, 0.1, 0.5, 0.0, 0.53, 0.22, negative
0.33, 0.38, 0.45, 0.19, 0.5, 0.0, 0.54, 0.37, negative
0.45, 0.53, 0.47, 0.43, 0.5, 0.0, 0.5, 0.27, negative
0.5, 0.57, 0.62, 0.25, 0.5, 0.0, 0.51, 0.22, negative
0.77, 0.73, 0.51, 0.27, 0.5, 0.0, 0.34, 0.22, negative
0.25, 0.39, 0.5, 0.23, 0.5, 0.0, 0.5, 0.28, negative
0.53, 0.59, 0.48, 0.14, 0.5, 0.0, 0.51, 0.22, negative
0.49, 0.45, 0.54, 0.4, 0.5, 0.0, 0.55, 0.22, negative
0.39, 0.44, 0.54, 0.24, 0.5, 0.0, 0.51, 0.49, negative
0.36, 0.48, 0.5, 0.13, 0.5, 0.0, 0.49, 0.6, negative
0.41, 0.52, 0.56, 0.26, 0.5, 0.0, 0.48, 0.32, negative
0.44, 0.33, 0.55, 0.16, 0.5, 0.0, 0.49, 0.22, negative
0.45, 0.66, 0.39, 0.11, 0.5, 0.0, 0.54, 0.22, negative
0.55, 0.45, 0.58, 0.25, 0.5, 0.0, 0.49, 0.22, negative
0.55, 0.38, 0.64, 0.42, 0.5, 0.0, 0.47, 0.22, negative
0.37, 0.58, 0.5, 0.22, 0.5, 0.0, 0.47, 0.22, negative
0.34, 0.47, 0.48, 0.32, 0.5, 0.0, 0.42, 0.22, negative
0.37, 0.45, 0.53, 0.14, 0.5, 0.0, 0.49, 0.22, negative
0.38, 0.38, 0.54, 0.24, 0.5, 0.0, 0.54, 0.22, negative
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, negative
0.57, 0.43, 0.52, 0.3, 0.5, 0.0, 0.37, 0.11, negative
0.46, 0.39, 0.54, 0.22, 0.5, 0.0, 0.48, 0.25, negative
0.46, 0.39, 0.54, 0.22, 0.5, 0.0, 0.48, 0.25, negative
0.47, 0.58, 0.47, 0.52, 0.5, 0.0, 0.54, 0.22, negative
0.55, 0.52, 0.44, 0.2, 0.5, 0.0, 0.56, 0.22, positive
0.52, 0.55, 0.39, 0.09, 1.0, 0.0, 0.55, 0.25, negative
0.48, 0.5, 0.47, 0.29, 0.5, 0.0, 0.46, 0.27, negative
0.54, 0.59, 0.57, 0.34, 0.5, 0.0, 0.49, 0.22, negative
0.85, 0.69, 0.34, 0.31, 0.5, 0.0, 0.57, 0.3, negative
0.46, 0.56, 0.56, 0.25, 0.5, 0.0, 0.43, 0.22, negative
0.47, 0.55, 0.57, 0.17, 0.5, 0.0, 0.52, 0.66, negative
0.64, 0.31, 0.53, 0.15, 0.5, 0.0, 0.53, 0.31, negative
0.4, 0.43, 0.36, 0.33, 0.5, 0.0, 0.51, 0.22, negative
0.48, 0.55, 0.58, 0.18, 0.5, 0.0, 0.38, 0.69, negative
0.57, 0.51, 0.34, 0.13, 0.5, 0.0, 0.53, 0.27, negative
0.46, 0.5, 0.5, 0.28, 0.5, 0.0, 0.5, 0.37, negative
0.6, 0.62, 0.54, 0.11, 0.5, 0.0, 0.51, 0.22, negative
0.25, 0.33, 0.48, 0.18, 0.5, 0.0, 0.42, 0.33, negative
0.55, 0.46, 0.47, 0.15, 0.5, 0.0, 0.47, 0.22, negative
0.52, 0.56, 0.55, 0.16, 0.5, 0.0, 0.53, 0.39, negative
0.44, 0.39, 0.63, 0.11, 0.5, 0.0, 0.49, 0.26, negative
0.83, 0.81, 0.45, 0.38, 0.5, 0.0, 0.4, 0.26, negative
0.36, 0.5, 0.39, 0.23, 0.5, 0.0, 0.5, 0.22, negative
0.41, 0.35, 0.6, 0.22, 0.5, 0.0, 0.56, 0.79, negative
0.41, 0.56, 0.53, 0.16, 0.5, 0.0, 0.55, 0.26, negative
0.63, 0.64, 0.49, 0.2, 0.5, 0.0, 0.52, 0.25, negative
0.57, 0.35, 0.5, 0.43, 0.5, 0.0, 0.53, 0.22, negative
0.44, 0.54, 0.51, 0.16, 0.5, 0.0, 0.58, 0.22, negative
0.77, 0.7, 0.44, 0.29, 0.5, 0.0, 0.56, 0.22, negative
0.4, 0.56, 0.53, 0.15, 0.5, 0.0, 0.49, 0.22, negative
0.48, 0.44, 0.51, 0.24, 0.5, 0.0, 0.49, 0.22, negative
0.27, 0.43, 0.5, 0.13, 0.5, 0.0, 0.54, 0.31, negative
0.49, 0.36, 0.47, 0.28, 0.5, 0.0, 0.56, 0.54, negative
0.54, 0.35, 0.55, 0.19, 0.5, 0.0, 0.3, 0.22, negative
0.36, 0.51, 0.51, 0.17, 0.5, 0.0, 0.52, 0.22, negative
0.65, 0.58, 0.53, 0.21, 0.5, 0.0, 0.51, 0.22, negative
0.5, 0.55, 0.52, 0.16, 0.5, 0.0, 0.51, 0.31, negative
0.43, 0.41, 0.37, 0.18, 0.5, 0.0, 0.54, 0.31, negative
0.51, 0.38, 0.42, 0.21, 0.5, 0.0, 0.46, 0.34, negative
0.32, 0.45, 0.39, 0.14, 0.5, 0.0, 0.45, 0.22, negative
0.8, 0.79, 0.43, 0.25, 0.5, 0.0, 0.52, 0.22, negative
0.5, 0.63, 0.45, 0.13, 0.5, 0.0, 0.45, 0.32, negative
0.6, 0.68, 0.3, 0.27, 0.5, 0.0, 0.55, 0.22, negative
0.5, 0.61, 0.44, 0.2, 0.5, 0.0, 0.49, 0.22, negative
0.38, 0.48, 0.57, 0.3, 0.5, 0.0, 0.41, 0.11, negative
0.38, 0.47, 0.47, 0.18, 0.5, 0.0, 0.44, 0.26, negative
0.61, 0.48, 0.54, 0.25, 0.5, 0.0, 0.5, 0.22, negative
0.81, 0.62, 0.43, 0.17, 0.5, 0.0, 0.53, 0.22, positive
0.47, 0.43, 0.61, 0.4, 0.5, 0.0, 0.48, 0.47, negative
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, negative
0.59, 0.61, 0.34, 0.22, 0.5, 0.0, 0.51, 0.22, negative
0.23, 0.2, 0.53, 0.2, 0.5, 0.0, 0.44, 0.22, negative
0.46, 0.35, 0.53, 0.16, 0.5, 0.0, 0.51, 0.29, negative
0.63, 0.61, 0.41, 0.22, 0.5, 0.0, 0.51, 0.22, negative
0.43, 0.51, 0.48, 0.14, 0.5, 0.0, 0.5, 0.22, negative
0.54, 0.56, 0.57, 0.18, 0.5, 0.0, 0.45, 0.25, negative
0.38, 0.46, 0.52, 0.75, 0.5, 0.0, 0.5, 0.26, negative
0.32, 0.36, 0.34, 0.19, 0.5, 0.0, 0.55, 0.26, negative
0.58, 0.49, 0.5, 0.41, 0.5, 0.0, 0.57, 0.22, negative
0.53, 0.48, 0.45, 0.44, 0.5, 0.0, 0.49, 0.27, negative
0.5, 0.36, 0.53, 0.41, 0.5, 0.0, 0.55, 0.36, negative
0.38, 0.62, 0.52, 0.14, 0.5, 0.0, 0.53, 0.22, negative
0.45, 0.48, 0.56, 0.56, 0.5, 0.0, 0.47, 0.22, negative
0.32, 0.48, 0.49, 0.17, 0.5, 0.0, 0.47, 0.22, negative
0.48, 0.5, 0.56, 0.11, 0.5, 0.0, 0.33, 0.22, negative
0.57, 0.49, 0.61, 0.26, 0.5, 0.0, 0.52, 0.22, negative
0.32, 0.44, 0.54, 0.21, 0.5, 0.0, 0.4, 0.19, negative
0.5, 0.48, 0.48, 0.23, 0.5, 0.0, 0.53, 0.68, negative
0.39, 1.0, 0.38, 0.41, 0.5, 0.0, 0.5, 0.27, negative
0.46, 0.42, 0.51, 0.16, 0.5, 0.0, 0.56, 0.22, negative
0.44, 0.65, 0.49, 0.16, 0.5, 0.0, 0.48, 0.31, negative
0.44, 0.49, 0.49, 0.27, 0.5, 0.0, 0.52, 0.22, negative
0.5, 0.44, 0.57, 0.28, 0.5, 0.0, 0.57, 0.22, negative
0.26, 0.3, 0.37, 0.15, 0.5, 0.0, 0.53, 0.25, negative
0.58, 0.56, 0.38, 0.39, 0.5, 0.0, 0.54, 0.57, negative
