@relation  winequality-white-3_vs_7
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.009,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
5.8, 0.24, 0.44, 3.5, 0.029, 5.0, 109.0, 0.9913, 3.53, 0.43, 11.7, positive
9.1, 0.59, 0.38, 1.6, 0.066, 34.0, 182.0, 0.9968, 3.23, 0.38, 8.5, positive
7.0, 0.32, 0.29, 7.6, 0.025, 35.0, 124.0, 0.99162, 3.15, 0.65, 12.8, negative
7.1, 0.23, 0.3, 2.6, 0.034, 62.0, 148.0, 0.99121, 3.03, 0.56, 11.3, negative
7.2, 0.23, 0.39, 14.2, 0.058, 49.0, 192.0, 0.9979, 2.98, 0.48, 9.0, negative
6.4, 0.14, 0.31, 1.2, 0.034, 53.0, 138.0, 0.99084, 3.38, 0.35, 11.5, negative
6.0, 0.1, 0.24, 1.1, 0.041, 15.0, 65.0, 0.9927, 3.61, 0.61, 10.3, negative
5.9, 0.37, 0.3, 1.5, 0.033, 35.0, 95.0, 0.98986, 3.36, 0.56, 12.0, negative
6.8, 0.21, 0.4, 6.3, 0.032, 40.0, 121.0, 0.99214, 3.18, 0.53, 12.0, negative
7.6, 0.31, 0.24, 1.8, 0.037, 39.0, 150.0, 0.9913, 3.05, 0.44, 11.8, negative
7.1, 0.26, 0.34, 14.4, 0.067, 35.0, 189.0, 0.9986, 3.07, 0.53, 9.1, negative
6.7, 0.18, 0.28, 10.2, 0.039, 29.0, 115.0, 0.99469, 3.11, 0.45, 10.9, negative
7.4, 0.19, 0.49, 9.3, 0.03, 26.0, 132.0, 0.994, 2.99, 0.32, 11.0, negative
7.2, 0.32, 0.36, 2.0, 0.033, 37.0, 114.0, 0.9906, 3.1, 0.71, 12.3, negative
7.1, 0.44, 0.37, 2.7, 0.041, 35.0, 128.0, 0.9896, 3.07, 0.43, 13.5, negative
6.0, 0.28, 0.52, 6.2, 0.028, 37.0, 104.0, 0.99161, 3.28, 0.51, 11.8, negative
7.4, 0.16, 0.3, 13.7, 0.056, 33.0, 168.0, 0.99825, 2.9, 0.44, 8.7, negative
7.0, 0.23, 0.35, 1.4, 0.036, 31.0, 113.0, 0.9912, 3.16, 0.48, 10.8, negative
8.9, 0.3, 0.35, 4.6, 0.032, 32.0, 148.0, 0.99458, 3.15, 0.45, 11.5, negative
7.2, 0.25, 0.28, 14.4, 0.055, 55.0, 205.0, 0.9986, 3.12, 0.38, 9.0, negative
6.5, 0.18, 0.33, 1.4, 0.029, 35.0, 138.0, 0.99114, 3.36, 0.6, 11.5, negative
