@relation  winequality-white-3_vs_7
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.009,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
7.5, 0.32, 0.24, 4.6, 0.053, 8.0, 134.0, 0.9958, 3.14, 0.5, 9.1, positive
9.4, 0.24, 0.29, 8.5, 0.037, 124.0, 208.0, 0.99395, 2.9, 0.38, 11.0, positive
6.5, 0.28, 0.34, 3.6, 0.04, 29.0, 121.0, 0.99111, 3.28, 0.48, 12.1, negative
7.4, 0.24, 0.26, 1.6, 0.058, 53.0, 150.0, 0.9936, 3.18, 0.5, 9.9, negative
7.6, 0.19, 0.32, 18.75, 0.047, 32.0, 193.0, 1.00014, 3.1, 0.5, 9.3, negative
6.0, 0.24, 0.28, 3.95, 0.038, 61.0, 134.0, 0.99146, 3.3, 0.54, 11.3, negative
6.7, 0.19, 0.39, 1.0, 0.032, 14.0, 71.0, 0.98912, 3.31, 0.38, 13.0, negative
6.7, 0.46, 0.27, 5.2, 0.039, 35.0, 96.0, 0.99129, 3.16, 0.44, 12.4, negative
6.9, 0.28, 0.27, 2.1, 0.036, 42.0, 121.0, 0.9926, 3.42, 0.49, 10.8, negative
6.2, 0.21, 0.27, 1.7, 0.038, 41.0, 150.0, 0.9933, 3.49, 0.71, 10.5, negative
7.6, 0.29, 0.49, 9.6, 0.03, 45.0, 197.0, 0.9938, 3.13, 0.38, 12.3, negative
6.8, 0.18, 0.28, 9.8, 0.039, 29.0, 113.0, 0.99406, 3.11, 0.45, 10.9, negative
6.4, 0.24, 0.23, 2.0, 0.046, 30.0, 133.0, 0.9908, 3.12, 0.54, 11.4, negative
7.9, 0.41, 0.37, 4.5, 0.03, 40.0, 114.0, 0.992, 3.17, 0.54, 12.4, negative
6.8, 0.27, 0.49, 1.2, 0.044, 35.0, 126.0, 0.99, 3.13, 0.48, 12.1, negative
6.6, 0.19, 0.35, 1.5, 0.037, 37.0, 107.0, 0.99006, 3.18, 0.68, 12.0, negative
8.0, 0.37, 0.32, 1.6, 0.04, 32.0, 166.0, 0.992, 3.0, 0.55, 11.3, negative
6.1, 0.22, 0.4, 1.85, 0.031, 25.0, 111.0, 0.98966, 3.03, 0.3, 11.8, negative
6.9, 0.24, 0.49, 1.3, 0.032, 35.0, 148.0, 0.9932, 3.45, 0.57, 10.7, negative
7.2, 0.25, 0.28, 14.4, 0.055, 55.0, 205.0, 0.9986, 3.12, 0.38, 9.0, negative
6.6, 0.23, 0.24, 3.9, 0.045, 36.0, 138.0, 0.9922, 3.15, 0.64, 11.3, negative
6.7, 0.41, 0.24, 5.4, 0.035, 33.0, 115.0, 0.9901, 3.12, 0.44, 12.8933333333333, negative
6.1, 0.36, 0.27, 2.1, 0.035, 16.0, 100.0, 0.9917, 3.4, 0.71, 11.5, negative
6.0, 0.28, 0.27, 15.5, 0.036, 31.0, 134.0, 0.99408, 3.19, 0.44, 13.0, negative
6.7, 0.18, 0.31, 10.6, 0.035, 42.0, 143.0, 0.99572, 3.08, 0.49, 9.8, negative
6.2, 0.2, 0.26, 1.1, 0.047, 42.0, 119.0, 0.99158, 3.48, 0.6, 11.0, negative
6.1, 0.25, 0.3, 1.2, 0.036, 42.0, 107.0, 0.991, 3.34, 0.56, 10.8, negative
5.7, 0.22, 0.28, 1.3, 0.027, 26.0, 101.0, 0.98948, 3.35, 0.38, 12.5, negative
6.3, 0.13, 0.42, 1.1, 0.043, 63.0, 146.0, 0.99066, 3.13, 0.72, 11.2, negative
7.2, 0.32, 0.33, 1.4, 0.029, 29.0, 109.0, 0.9902, 3.15, 0.51, 12.8, negative
6.8, 0.15, 0.33, 4.7, 0.059, 31.0, 118.0, 0.9956, 3.43, 0.39, 9.0, negative
5.8, 0.32, 0.31, 2.7, 0.049, 25.0, 153.0, 0.99067, 3.44, 0.73, 12.2, negative
5.6, 0.22, 0.32, 1.2, 0.024, 29.0, 97.0, 0.98823, 3.2, 0.46, 13.05, negative
