358 400 0
194 614 0
623 660 0
613 734 0
415 294 0
224 622 0
527 363 0
145 499 0
268 325 0
298 485 0
366 493 0
422 495 0
373 563 0
509 848 0
606 633 0
347 386 0
399 280 0
316 366 0
615 609 0
502 350 0
121 552 0
286 645 0
259 656 0
556 379 0
315 732 0
349 339 0
301 479 0
514 233 0
399 335 0
125 408 0
386 409 0
441 358 0
179 607 0
359 484 0
455 526 0
594 387 0
542 331 0
433 684 0
588 652 0
301 632 0
456 825 0
438 844 0
487 276 0
349 757 0
180 407 0
386 836 0
390 626 0
435 629 0
318 627 0
604 679 0
476 702 0
538 648 0
543 469 0
459 489 0
551 295 0
301 267 0
244 359 0
461 661 0
443 807 0
268 309 0
360 523 0
510 810 0
463 778 0
342 463 0
284 707 0
287 383 0
541 646 0
538 808 0
313 731 0
252 459 0
175 563 0
234 433 0
263 553 0
501 497 0
393 798 0
263 421 0
229 437 0
492 846 0
241 673 0
274 410 0
483 540 0
590 722 0
156 540 0
291 260 0
111 601 0
140 617 0
299 549 0
458 540 0
322 567 0
249 410 0
200 526 0
343 662 0
545 736 0
373 751 0
286 267 0
348 667 0
253 516 0
338 524 0
430 575 0
282 501 0
