148 50 0
187 34 0
290 -57 0
194 -80 0
204 89 0
196 -81 0
201 -17 0
289 4 0
116 -95 0
199 38 0
174 33 0
277 78 0
152 -97 0
288 -84 0
133 34 0
258 1 0
280 6 0
121 -38 0
180 61 0
116 56 0
216 387 0
139 332 0
292 238 0
201 354 0
114 308 0
188 227 0
268 287 0
203 251 0
165 238 0
189 224 0
119 211 0
186 290 0
237 287 0
135 398 0
141 274 0
184 340 0
114 213 0
153 307 0
182 269 0
227 342 0
171 662 0
218 598 0
246 651 0
298 540 0
155 586 0
150 603 0
222 598 0
195 695 0
183 604 0
184 600 0
201 510 0
291 667 0
145 647 0
245 690 0
270 588 0
265 671 0
126 551 0
107 671 0
131 510 0
112 673 0
121 948 0
291 867 0
140 846 0
185 849 0
168 811 0
161 977 0
226 922 0
288 868 0
267 898 0
177 825 0
171 886 0
277 816 0
113 870 0
267 850 0
211 881 0
274 931 0
114 805 0
178 934 0
151 978 0
268 858 0
213 1298 0
272 1211 0
238 1169 0
290 1202 0
291 1166 0
108 1133 0
299 1182 0
250 1182 0
172 1245 0
202 1159 0
284 1117 0
125 1263 0
106 1103 0
184 1133 0
213 1253 0
266 1177 0
242 1245 0
257 1215 0
179 1137 0
233 1102 0
