@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, positive
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, positive
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, positive
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, positive
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, positive
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, positive
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, positive
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, positive
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, positive
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, positive
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, positive
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, positive
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, positive
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, positive
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, positive
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, negative
0.34, 0.46, 0.48, 0.5, 0.52, 0.35, 0.44, negative
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, negative
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, negative
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, negative
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, negative
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, negative
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, negative
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, negative
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, negative
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, negative
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
0.44, 0.51, 0.48, 0.5, 0.47, 0.26, 0.36, negative
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, negative
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, negative
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, negative
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, negative
