@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, negative
0.3, 0.16, 0.48, 0.5, 0.56, 0.11, 0.23, negative
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, negative
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, negative
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, negative
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, negative
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, negative
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, negative
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, negative
0.39, 0.31, 0.48, 0.5, 0.38, 0.34, 0.43, negative
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, positive
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, positive
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, positive
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, positive
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, positive
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, positive
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, positive
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, positive
