@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, positive
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, positive
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, positive
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, positive
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, positive
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, positive
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, positive
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, positive
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, negative
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, negative
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, negative
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, negative
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, negative
