@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, positive
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, positive
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, positive
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, positive
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, positive
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, positive
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, positive
0.44, 0.51, 0.48, 0.5, 0.47, 0.26, 0.36, negative
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, negative
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, negative
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, negative
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, negative
