@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, positive
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, positive
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, positive
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, positive
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, positive
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, positive
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, positive
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, negative
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, negative
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, negative
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, negative
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, negative
