@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, negative
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, negative
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, negative
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.3, 0.37, 0.48, 0.5, 0.43, 0.18, 0.3, negative
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, positive
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, positive
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, positive
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, positive
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, positive
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, positive
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, positive
