@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, negative
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, negative
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, negative
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, negative
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, negative
0.44, 0.51, 0.48, 0.5, 0.47, 0.26, 0.36, negative
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, negative
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, negative
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, negative
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, positive
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, positive
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, positive
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, positive
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, positive
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, positive
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, positive
