@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, positive
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, positive
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, positive
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, positive
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, positive
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, positive
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, positive
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, positive
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, negative
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, negative
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, negative
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, negative
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, negative
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, negative
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, negative
