@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, positive
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, positive
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, positive
0.47, 0.55, 0.48, 0.5, 0.58, 0.71, 0.75, positive
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, positive
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, positive
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, negative
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, negative
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, negative
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, negative
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, negative
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, negative
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, negative
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, negative
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
