@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, negative
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, negative
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, negative
0.34, 0.28, 0.48, 0.5, 0.41, 0.35, 0.44, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.17, 0.52, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, negative
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, positive
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, positive
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, positive
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, positive
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, positive
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, positive
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, positive
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, positive
