@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, positive
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, positive
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, positive
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, positive
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, positive
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, positive
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, positive
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, negative
0.39, 0.31, 0.48, 0.5, 0.38, 0.34, 0.43, negative
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, negative
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, negative
0.34, 0.28, 0.48, 0.5, 0.41, 0.35, 0.44, negative
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, negative
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, negative
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, negative
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, negative
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, negative
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, negative
