@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, negative
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, negative
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, negative
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, negative
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, negative
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, negative
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, negative
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, negative
0.23, 0.58, 0.48, 0.5, 0.37, 0.53, 0.59, negative
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, negative
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, negative
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, negative
0.34, 0.46, 0.48, 0.5, 0.52, 0.35, 0.44, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, negative
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, negative
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, negative
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, negative
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, negative
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, positive
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, positive
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, positive
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, positive
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, positive
0.7, 0.4, 0.48, 0.5, 0.56, 0.86, 0.83, positive
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, positive
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, positive
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, positive
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, positive
0.61, 0.66, 0.48, 0.5, 0.46, 0.87, 0.88, positive
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, positive
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, positive
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, positive
