@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, positive
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, positive
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, positive
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, positive
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, positive
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, positive
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, positive
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, positive
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, negative
0.34, 0.46, 0.48, 0.5, 0.52, 0.35, 0.44, negative
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, negative
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, negative
0.44, 0.49, 0.48, 0.5, 0.39, 0.38, 0.4, negative
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, negative
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, negative
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, negative
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, negative
0.17, 0.52, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, negative
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, negative
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
