@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.29, 0.52, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, negative
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, negative
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, negative
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, negative
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, negative
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, negative
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, negative
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, negative
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, negative
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, positive
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, positive
0.47, 0.55, 0.48, 0.5, 0.58, 0.71, 0.75, positive
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, positive
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, positive
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, positive
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, positive
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, positive
