@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, negative
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, negative
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, negative
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, negative
0.25, 0.37, 0.48, 0.5, 0.41, 0.33, 0.42, negative
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, negative
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, negative
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, negative
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, positive
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, positive
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, positive
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, positive
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, positive
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, positive
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, positive
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, positive
