@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, positive
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, positive
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, positive
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, positive
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, positive
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, positive
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, positive
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, positive
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, positive
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, positive
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, positive
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, positive
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, positive
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, positive
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, positive
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, positive
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, positive
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, positive
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, positive
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, positive
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, positive
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, positive
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, positive
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, positive
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, positive
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, positive
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, positive
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, positive
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, negative
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, negative
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, negative
0.31, 0.5, 0.48, 0.5, 0.57, 0.84, 0.85, negative
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, negative
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, negative
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, negative
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, negative
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, negative
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, negative
