@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, positive
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, positive
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, positive
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, positive
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, positive
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, positive
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, positive
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, positive
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.55, 0.47, 0.48, 0.5, 0.57, 0.78, 0.8, positive
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, positive
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, positive
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, positive
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, positive
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, positive
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, negative
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, negative
0.25, 0.37, 0.48, 0.5, 0.41, 0.33, 0.42, negative
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, negative
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, negative
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, negative
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, negative
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, negative
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, negative
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, negative
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, negative
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, negative
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, negative
0.54, 0.47, 0.48, 0.5, 0.28, 0.33, 0.42, negative
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, negative
0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, negative
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, negative
