@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, positive
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, positive
0.74, 0.44, 0.48, 0.5, 0.55, 0.88, 0.89, positive
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, positive
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, positive
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, positive
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, positive
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, positive
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, positive
0.47, 0.59, 0.48, 0.5, 0.52, 0.76, 0.79, positive
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, positive
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, positive
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, positive
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, positive
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, positive
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, positive
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, negative
0.4, 0.46, 0.48, 0.5, 0.42, 0.35, 0.44, negative
0.3, 0.37, 0.48, 0.5, 0.43, 0.18, 0.3, negative
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, negative
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, negative
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, negative
0.29, 0.52, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.24, 0.34, 0.48, 0.5, 0.38, 0.3, 0.4, negative
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, negative
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, negative
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, negative
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, negative
0.3, 0.16, 0.48, 0.5, 0.56, 0.11, 0.23, negative
0.44, 0.49, 0.48, 0.5, 0.39, 0.38, 0.4, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, negative
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, negative
0.44, 0.27, 0.48, 0.5, 0.55, 0.52, 0.58, negative
