@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, negative
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, negative
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, negative
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, negative
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, negative
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, negative
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, negative
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, negative
0.61, 0.36, 0.48, 0.5, 0.49, 0.35, 0.44, negative
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, negative
0.44, 0.52, 0.48, 0.5, 0.43, 0.47, 0.54, positive
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, positive
0.33, 0.56, 0.48, 0.5, 0.33, 0.78, 0.8, positive
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, positive
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, positive
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, positive
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, positive
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, positive
