@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, positive
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, positive
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, positive
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, positive
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, positive
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, positive
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, positive
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, positive
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, positive
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, positive
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, positive
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, positive
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, positive
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, positive
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, positive
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, positive
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, negative
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, negative
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, negative
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, negative
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, negative
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, negative
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, negative
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, negative
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, negative
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, negative
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, negative
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, negative
0.39, 0.31, 0.48, 0.5, 0.38, 0.34, 0.43, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, negative
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, negative
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, negative
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, negative
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, negative
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, negative
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, negative
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, negative
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, negative
